#{"t_start": 1785944754.5159738, "env_id": "poke-env-v0"}
r,l,t
-44.22,26,7.087102
-41.42,28,7.550873
-44.28,19,7.950325
-39.0,28,8.386886
-36.62,28,8.795582
-44.88,26,9.813097
-41.32,26,10.198639
-43.79,31,10.829669
-41.83,26,11.511568
-42.0,24,11.869719
-40.59,33,12.384634
-41.5,37,12.905185
-41.29,42,13.524519
-45.0,23,13.885067
-46.76,29,14.298398
-44.5,37,15.037144
-41.18,37,15.564271
-33.0,122,18.824925
-41.5,22,19.165625
-47.26,22,19.486467
-35.0,31,19.920377
-41.62,31,20.39525
-44.51,21,20.699911
-38.62,33,21.260706
-34.58,31,21.903588
-41.89,22,22.218245
-37.71,29,22.640144
-38.24,36,23.137547
-44.05,25,23.5012
-47.24,22,23.846793
-37.59,37,25.318441
-44.78,19,25.59221
-41.37,23,25.94417
-41.1,34,26.457407
-38.31,23,26.786304
-38.61,35,28.011975
-37.83,27,28.430568
-35.6,32,28.881352
-43.34,22,29.203871
-44.32,22,29.521912
-32.25,42,30.215432
-37.48,31,30.675643
-38.73,27,31.072867
-41.38,29,31.49685
-36.0,43,32.119756
-41.56,31,32.703309
-47.29,25,33.072719
-41.96,22,33.401379
-38.4,28,33.861144
-32.39,43,34.58868
-44.05,32,35.189987
-38.2,74,36.34985
-33.0,46,37.064784
-41.34,25,37.444187
-38.45,31,37.937203
-41.63,22,38.254042
-44.66,25,38.606505
-45.0,21,38.919995
-38.91,46,39.59138
-38.78,32,40.058255
-35.41,31,40.507668
-44.68,20,40.834245
-44.32,27,41.242581
-37.46,31,41.705665
-43.69,24,42.071729
-45.0,17,42.334847
-42.0,25,42.743732
-37.78,40,43.362251
-41.29,30,43.851404
-42.0,24,44.204574
-40.93,31,44.655139
-41.46,59,45.492776
-42.0,30,45.933649
-44.22,29,46.342983
-35.83,28,46.740315
-42.0,22,47.042705
-41.08,34,47.524767
-44.31,30,47.942289
-39.0,25,48.2851
-41.49,26,48.646868
-44.35,29,49.056397
-40.87,32,49.537607
-41.02,44,50.155412
-44.57,22,50.483129
-38.16,30,50.907055
-38.91,23,51.218969
-47.97,25,51.586023
-41.49,25,51.94941
-41.8,32,52.402672
-41.3,31,52.838928
-38.58,30,53.236307
-41.32,27,53.692763
-41.81,26,55.05521
-41.53,26,55.424681
-39.0,24,55.768748
-38.4,34,56.242817
-32.34,92,57.531011
-38.59,26,57.895268
-39.0,30,58.334103
-46.79,26,58.73342
-38.8,22,59.050188
-44.25,24,59.383629
-38.27,26,59.787195
-38.94,32,60.224515
-43.56,22,60.539424
-38.91,36,61.056759
-41.21,22,61.369902
-44.08,25,61.730439
-41.0,28,62.115313
-40.82,29,62.535683
-35.58,24,62.895607
-44.29,21,63.181338
-38.44,34,63.703326
-44.29,31,64.217049
-41.07,22,64.54299
-39.0,25,64.912651
-42.0,27,65.315674
-44.18,26,65.711042
-38.67,25,66.077984
-44.33,26,66.484406
-44.56,20,66.798028
-38.71,30,67.261791
-44.13,29,67.659481
-38.87,33,68.141527
-41.25,27,68.521487
-44.01,32,68.973421
-43.76,26,69.355883
-40.74,30,69.79482
-45.0,30,70.213201
-38.67,28,70.607213
-44.02,41,71.185349
32.203422,54,72.14377
-42.0,23,72.465235
-35.21,28,72.851268
-41.85,21,73.172673
-41.74,39,73.700877
-38.05,40,74.282838
-35.05,30,74.72391
-35.31,25,75.073257
-38.91,44,75.996025
-38.45,38,76.653951
-42.0,25,77.038723
-41.01,25,77.40685
-44.65,28,77.805549
-34.55,34,78.298897
-45.0,29,78.717085
-38.47,30,79.145997
-43.39,22,79.484638
-38.89,37,80.013978
-41.65,89,81.275632
-47.33,25,81.644424
-41.04,25,82.00221
-39.0,34,82.48063
-41.59,48,83.161216
-35.26,39,83.720467
-44.91,59,84.615512
-41.79,19,84.903738
-38.3,45,85.546809
-38.87,35,86.182874
-38.04,34,86.658148
-41.63,31,87.744854
-42.0,30,88.172954
-43.65,23,88.522952
-35.78,38,89.096924
-38.31,34,89.657422
-44.2,32,90.127284
-41.88,26,90.493275
-44.19,24,90.9559
-40.84,39,91.548485
-40.81,21,91.884313
-42.0,28,92.320155
-42.0,30,92.773309
-43.96,24,93.141633
-47.62,15,93.430429
-43.74,22,93.836417
-41.11,32,94.398972
-42.0,29,94.879551
-38.81,30,95.408909
-42.48,42,96.103856
-44.25,25,96.54692
-41.65,37,97.167042
-44.03,24,97.562751
-47.09,31,98.273963
-44.3,21,98.622088
-36.0,55,100.065278
-42.0,29,100.545389
-43.27,25,100.939873
-42.0,27,101.39712
-44.2,20,101.694053
-41.42,27,102.080741
-37.72,32,102.5469
-44.46,22,102.887621
-41.82,24,103.37811
-44.99,45,104.05709
-41.38,31,104.776738
-38.14,68,105.810108
32.070529,59,106.837784
-40.76,34,107.332929
-41.88,19,107.599841
-42.0,26,107.981543
-45.0,23,108.347914
-44.06,37,109.441006
-44.11,27,109.85202
-36.0,60,110.740231
-38.77,29,111.173124
33.0,43,111.860603
-40.68,25,112.218805
-34.4,35,112.739837
-37.59,18,113.000847
-42.0,21,113.337414
-38.65,35,113.864569
-38.81,26,114.258915
-44.77,25,114.638622
-44.21,26,115.038862
-41.34,31,115.521517
-40.82,46,116.196346
-41.13,32,116.650026
-42.0,27,117.129426
-38.69,26,117.555586
-44.89,41,118.179309
-44.13,28,118.594413
-35.58,37,119.137473
-44.94,50,119.985199
-39.0,27,120.363599
-41.24,31,120.803101
32.343511,96,122.241161
-42.0,24,122.694438
-41.33,21,123.108525
-44.92,26,123.55421
-39.0,30,124.017422
-38.33,29,124.474435
-45.0,23,124.817157
-41.51,25,125.193901
-40.75,26,125.601832
-44.25,26,125.999144
-44.7,21,126.326665
-38.6,35,126.858973
-44.86,27,127.280278
-38.54,39,127.847127
