player,a2c_masked_v0_seed0,dqn_masked_v0_seed0,ppo_masked_v0_aggressive_seed0,ppo_masked_v0_seed0,ppo_masked_v0_sparse_seed0,ppo_masked_v0_vs_maxpower_seed0,ppo_masked_v0_vs_mixed_seed0,ppo_masked_v0_vs_random_seed0,ppo_masked_v1_seed0,ppo_unmasked_v0_seed0,tabular_q_v0_seed0,random,max_power,heuristic
a2c_masked_v0_seed0,,40.0,17.0,15.0,11.0,15.0,16.0,13.0,21.0,14.0,83.0,75.0,30.0,7.0
dqn_masked_v0_seed0,60.0,,24.0,19.0,24.0,34.0,23.0,20.0,36.0,27.0,89.0,92.0,57.0,7.0
ppo_masked_v0_aggressive_seed0,83.0,76.0,,51.0,45.0,51.0,49.0,54.0,48.0,52.0,95.0,100.0,79.0,28.0
ppo_masked_v0_seed0,85.0,81.0,49.0,,45.0,54.0,47.0,49.0,63.0,64.0,97.0,97.0,71.0,35.0
ppo_masked_v0_sparse_seed0,89.0,76.0,55.0,55.0,,48.0,53.0,49.0,52.0,54.0,96.0,97.0,75.0,44.0
ppo_masked_v0_vs_maxpower_seed0,85.0,66.0,49.0,46.0,52.0,,51.0,47.0,60.0,55.0,96.0,95.0,77.0,37.0
ppo_masked_v0_vs_mixed_seed0,84.0,77.0,51.0,53.0,47.0,49.0,,54.0,67.0,64.0,100.0,98.0,69.0,35.0
ppo_masked_v0_vs_random_seed0,87.0,80.0,46.0,51.0,51.0,53.0,46.0,,62.0,52.0,97.0,95.0,69.0,33.0
ppo_masked_v1_seed0,79.0,64.0,52.0,37.0,48.0,40.0,33.0,38.0,,47.0,93.0,97.0,71.0,28.0
ppo_unmasked_v0_seed0,86.0,73.0,48.0,36.0,46.0,45.0,36.0,48.0,53.0,,99.0,98.0,72.0,21.0
tabular_q_v0_seed0,17.0,11.0,5.0,3.0,4.0,4.0,0.0,3.0,7.0,1.0,,49.0,11.0,2.0
random,25.0,8.0,0.0,3.0,3.0,5.0,2.0,5.0,3.0,2.0,51.0,,9.0,2.0
max_power,70.0,43.0,21.0,29.0,25.0,23.0,31.0,31.0,29.0,28.0,89.0,91.0,,6.0
heuristic,93.0,93.0,72.0,65.0,56.0,63.0,65.0,67.0,72.0,79.0,98.0,98.0,94.0,
