#{"t_start": 1785936511.5351126, "env_id": "poke-env-v0"}
r,l,t
-41.9,40,2.773688
-41.07,45,3.181022
-41.68,36,3.576137
-41.56,44,4.054152
-38.64,45,4.9187
-39.65,44,5.391241
-43.98,25,5.695528
-38.28,25,5.976992
-38.57,38,6.439693
-41.1,19,6.66329
-44.91,31,7.048806
-34.53,28,7.380932
-44.5,18,7.585026
-41.09,33,7.958055
-44.27,20,8.282018
-38.5,26,8.604997
-38.8,37,9.069572
-38.37,58,10.090412
-33.0,28,10.524881
-41.27,31,10.937907
-42.0,37,11.35094
-44.06,28,11.679672
-38.69,32,12.100686
-43.54,23,12.361286
-42.0,49,12.961702
-43.77,23,13.226462
-46.62,22,13.490724
-43.49,25,13.814999
-45.0,36,14.245559
-38.69,29,14.612986
-44.05,25,14.928914
-41.73,27,15.247309
-41.66,40,15.744312
-41.88,36,16.235412
-32.91,38,16.709693
-41.82,23,16.999151
-43.62,39,17.569267
-40.35,33,18.042499
-39.0,37,18.486885
35.243243,26,18.846756
-38.56,31,19.234185
-35.91,40,19.723304
-34.94,31,20.08619
-42.0,34,20.526219
-44.7,25,20.839116
-35.88,38,21.358155
-38.2,33,21.825026
-41.88,26,22.160233
-44.34,24,22.459488
-41.43,29,22.810386
-37.96,27,23.11898
-44.2,46,23.65375
-41.23,23,23.924954
-41.69,31,24.334832
-41.5,42,24.832979
-36.0,30,25.186415
32.922078,55,25.847064
-31.91,43,26.342401
-33.0,35,26.812013
-39.0,29,27.181121
-41.08,21,27.457952
-35.64,36,27.890362
-41.34,40,28.384797
-41.96,28,28.7861
-42.0,37,29.281092
-38.08,59,29.983489
-46.57,22,30.261913
-43.85,21,30.543639
-39.0,32,31.006716
-44.17,27,31.594099
-44.57,26,31.923087
-39.0,24,32.272973
-45.0,31,32.654862
-43.62,21,32.928092
-41.52,17,33.150693
-38.53,36,33.585533
-45.0,25,33.893995
-41.74,32,34.256666
-38.6,34,34.654498
-35.69,25,34.989854
-44.9,28,35.375573
-41.6,26,35.70313
-40.55,35,36.14389
-39.0,26,36.467041
-35.91,35,37.60937
-41.81,25,37.943373
-32.9,26,38.247384
-43.8,49,38.808989
-38.12,26,39.141282
-41.49,45,39.65395
-33.0,70,40.469531
-38.27,25,40.763301
-41.84,38,41.211345
-47.98,25,41.493073
-34.56,34,41.998461
-35.05,29,42.488336
-39.0,22,42.799006
-44.32,30,43.21015
-32.64,43,44.556758
-41.66,26,44.851912
-38.35,25,45.152249
-41.69,35,45.589429
-38.47,31,46.034076
-32.47,34,46.626356
-36.0,31,47.095006
-44.24,30,47.554739
-39.0,26,47.970341
-39.0,19,48.325929
-41.56,33,48.864151
-43.86,25,49.193972
-44.46,18,49.401576
-47.67,14,49.570789
-47.82,32,49.962708
-42.56,30,50.29978
-41.42,44,50.836286
-41.48,29,51.153962
-41.52,32,51.529526
-44.5,32,51.953448
-32.59,42,52.443234
32.72069,46,53.25271
-44.1,27,53.633964
-38.19,28,54.041562
-38.08,30,54.447952
-40.55,30,54.870317
-44.28,25,55.247656
-38.39,56,55.952642
-41.9,37,56.414979
-44.6,19,56.688399
-44.39,26,57.003427
-37.53,30,57.376665
-37.17,33,57.774
-44.25,24,58.073078
-44.04,26,58.351426
-44.34,35,58.745373
-41.81,25,59.065032
-41.43,36,59.524018
-35.49,31,59.878003
-44.51,33,60.304422
-35.52,34,60.699163
-43.89,28,61.047837
-38.3,36,61.455085
-41.75,22,61.706272
-41.2,28,62.030077
-41.8,23,62.310127
-38.04,28,62.608043
-47.17,34,63.017152
-41.3,31,63.384981
-41.89,21,63.643226
-41.36,30,64.096265
-41.16,18,64.301636
-40.91,34,65.013356
-39.0,28,65.467479
-44.83,17,65.650915
-37.61,35,66.047246
-44.09,23,66.319372
-42.5,47,66.884701
-36.0,27,67.185224
-37.96,33,67.570848
-38.84,32,67.932729
-40.98,22,68.297791
-35.29,40,68.753605
-41.89,27,69.074289
-44.11,27,69.374789
-41.37,28,70.637596
-36.0,39,71.105478
-38.06,38,71.582385
-42.0,21,71.85218
-41.6,21,72.092757
-48.0,19,72.31073
-40.46,37,72.740937
-38.06,22,72.993913
-42.0,31,73.385203
-38.84,90,74.417582
-42.0,24,74.822162
-41.17,22,75.164056
-38.33,24,75.481268
33.0,39,76.101537
-37.81,30,76.825833
-48.0,27,77.226951
-39.0,29,77.663332
-37.43,35,78.193512
-41.76,24,78.61813
-37.72,38,79.34428
-42.0,24,79.91748
-41.31,27,80.41623
-40.46,24,80.851703
-32.75,27,81.250689
-35.56,37,81.881591
-39.0,28,82.239211
-41.71,22,82.492136
-35.25,24,82.786213
-47.33,28,83.120421
-41.41,20,83.393681
-38.39,39,83.967894
-41.51,24,84.379421
-44.84,29,84.829229
-43.71,38,85.496768
-35.94,31,85.992887
32.399254,37,86.509917
-32.37,36,87.031451
-38.91,24,87.383874
-41.72,33,87.845078
-44.02,21,88.145357
-32.33,35,88.689641
-41.19,20,88.969845
-39.0,26,89.310449
-43.6,27,89.746059
-38.31,24,90.176344
-38.74,29,90.589725
-42.97,20,90.891961
-38.28,20,91.190563
-41.28,21,91.543695
-42.0,23,91.933541
-39.0,38,92.495604
-41.64,24,92.881478
-41.67,33,93.29233
-41.18,21,93.599273
-39.0,34,94.041117
-35.32,32,94.465995
-45.84,17,94.716569
-32.78,35,95.222889
-35.56,38,95.821882
-37.46,43,96.380764
-38.75,22,96.835434
-40.42,83,97.918715
-41.46,30,98.924577
-32.32,45,99.505706
32.560311,30,99.896464
-32.44,30,100.289866
-41.47,26,100.762162
-44.35,20,101.150202
-41.88,24,101.487369
32.749004,30,101.99167
-41.4,32,102.432112
-38.11,29,102.818891
-38.2,38,103.358297
-32.84,39,103.875873
-41.52,33,104.274535
-44.41,46,104.859229
-43.03,25,105.197132
-35.56,33,105.620853
-39.0,25,105.997555
-38.86,22,106.298006
-40.53,24,106.593454
-35.61,31,106.95259
-36.0,63,107.855111
-42.59,36,108.410994
-44.15,25,108.744063
-35.44,43,110.275804
-38.22,24,110.570827
-44.04,20,110.871771
-44.41,31,111.329929
-36.0,31,111.736549
-42.0,55,112.344347
-38.79,31,112.767059
-35.82,33,113.222099
-44.72,26,113.623205
34.710938,33,114.009154
-36.0,53,114.630354
-41.6,17,114.837446
-44.34,33,115.219545
-44.9,26,115.518227
-38.88,31,115.923087
-41.53,20,116.180156
-44.28,20,116.428661
-44.11,26,116.732962
-38.85,34,117.153815
-32.19,66,117.972067
-37.38,21,118.218089
-38.78,28,118.57664
-43.94,39,119.059362
-47.51,27,119.429955
-38.49,26,119.908587
-40.3,29,120.296258
-45.0,25,120.598567
-35.44,27,121.285739
34.642994,32,121.714063
-41.5,23,122.052658
-38.91,27,122.396272
-41.18,27,122.706561
-41.58,29,123.034738
-38.38,24,123.341146
-39.0,29,123.688009
-37.49,31,124.056076
-35.37,33,124.444464
-35.08,33,124.894706
-35.69,31,125.320428
-44.37,21,125.687398
-32.69,29,126.083876
-43.78,33,126.515195
-44.3,26,126.959978
-37.83,29,127.319071
-44.1,22,127.58636
-43.54,20,127.82418
-38.05,27,128.179498
-35.94,26,128.489637
-35.88,42,128.983533
-35.21,36,129.425418
-41.72,24,129.831264
-38.77,28,130.358246
