#{"t_start": 1785938458.9981909, "env_id": "poke-env-v0"}
r,l,t
-53.86,25,2.393786
-55.0,30,2.852825
-38.74,30,3.314105
-47.12,35,3.87043
-53.24,20,4.161703
-58.4,24,4.550072
-39.8,35,5.08386
-58.64,22,5.775063
-52.98,24,6.142152
34.335793,30,6.60159
-43.24,24,6.99819
-54.62,27,7.400509
-43.82,33,7.914429
-53.14,22,8.235448
-59.1,17,8.50209
-53.62,38,9.07459
-53.9,70,10.159911
-53.82,28,11.403886
-55.0,25,11.803422
-53.6,33,12.303441
-45.0,26,12.706234
-52.8,26,13.128725
-40.0,23,13.474689
-54.82,16,13.743222
-50.0,18,14.01325
-50.0,28,14.460707
-49.44,25,14.830157
-43.3,34,15.350249
-48.46,27,15.782551
-54.66,27,16.212229
-37.68,45,16.904008
-50.0,27,17.326469
-53.22,28,17.783265
-48.42,20,18.140335
-44.2,31,18.62665
-49.62,33,19.921296
-48.78,27,20.31082
-43.66,31,20.975179
-48.4,28,21.426602
-44.22,24,21.784138
-48.92,21,22.093183
-45.0,22,22.452366
-48.82,20,22.752089
-44.2,23,23.082845
-49.14,33,23.605861
-53.58,22,23.942597
-48.02,27,24.360021
-48.54,24,24.752904
33.376238,29,25.177217
-48.46,21,25.510043
-44.26,27,25.932711
-48.1,32,26.398107
-53.16,28,27.308671
-43.98,46,28.000237
-50.0,22,28.310739
-52.8,21,29.338718
-33.6,28,29.726448
-48.26,25,30.086759
-54.36,30,30.532845
-47.62,29,30.942484
-44.7,37,31.498054
-55.0,26,31.858349
-48.62,32,32.299332
-39.82,29,32.773976
-50.0,34,33.275632
-50.0,21,33.595127
-52.64,26,34.25206
-45.0,39,34.832272
-48.08,31,35.287873
-40.0,29,35.683324
-49.48,41,36.288491
-47.22,27,36.672695
-49.4,34,37.911604
-48.12,21,38.223408
-44.46,26,38.613615
-39.22,29,39.039351
40.766379,34,39.544095
-40.0,26,39.9121
-53.94,27,40.305819
-45.0,29,40.734505
-50.0,59,41.602793
-43.74,26,42.009454
41.021661,41,42.645856
-45.0,37,43.22505
-43.34,36,43.793178
-43.72,19,44.102232
-54.48,21,44.429748
-41.6,29,44.863711
-49.52,27,45.297709
-50.0,17,46.429085
-54.16,19,46.732022
-44.46,25,47.135992
-48.28,25,47.49826
-44.52,26,47.865719
-44.34,30,48.47155
-53.68,28,49.244448
-48.78,27,49.961659
-38.36,37,50.913472
-54.88,26,51.381793
-48.54,32,51.907975
-53.88,20,52.240909
-49.58,30,52.736993
-41.12,31,53.23365
-44.02,21,53.554612
