#{"t_start": 1785948328.5603597, "env_id": "poke-env-v0"}
r,l,t
-30.0,38,2.463595
-30.0,22,2.767891
-30.0,22,3.057281
30.0,74,4.334162
-30.0,28,4.700516
-30.0,31,5.094169
-30.0,32,5.536935
-30.0,26,5.870747
-30.0,26,6.207367
-30.0,35,6.688616
-30.0,26,7.028331
-30.0,22,7.299263
-30.0,26,7.653321
-30.0,35,8.11959
-30.0,22,8.397976
-30.0,21,8.692325
-30.0,25,9.058375
-30.0,38,10.196386
-30.0,25,10.513062
-30.0,20,10.783145
-30.0,52,11.489251
-30.0,32,11.912599
-30.0,27,12.264548
-30.0,27,12.629493
-30.0,37,13.09716
-30.0,34,13.513321
-30.0,37,14.023575
-30.0,39,14.520291
-30.0,18,14.737344
-30.0,20,15.020584
-30.0,27,15.378681
-30.0,29,15.724565
-30.0,24,16.043944
-30.0,34,17.723197
-30.0,36,18.21221
-30.0,28,18.582218
-30.0,22,18.893761
-30.0,36,19.378067
-30.0,42,20.061747
-30.0,25,20.38822
-30.0,38,20.881779
-30.0,22,21.34138
-30.0,41,21.853572
-30.0,38,22.382648
-30.0,78,23.389054
-30.0,28,23.763876
-30.0,41,24.312969
-30.0,35,25.353487
-30.0,37,25.827649
-30.0,42,26.362365
-30.0,24,26.680719
-30.0,26,27.016974
-30.0,29,27.412029
-30.0,23,27.713351
-30.0,28,28.055545
-30.0,24,28.386493
-30.0,49,29.005984
-30.0,24,29.312139
-30.0,51,29.968749
-30.0,47,30.884272
-30.0,40,31.386241
-30.0,37,31.853406
-30.0,38,33.000005
-30.0,38,33.506502
30.0,52,34.198613
-30.0,23,34.523352
-30.0,27,34.874776
-30.0,31,35.272136
-30.0,26,35.622236
-30.0,22,35.905195
-30.0,42,36.57586
-30.0,27,36.955046
-30.0,29,37.313602
30.0,35,37.771583
-30.0,48,38.386083
-30.0,24,38.715028
-30.0,25,39.044543
-30.0,22,39.321509
-30.0,26,39.667976
-30.0,29,40.695022
-30.0,25,41.004709
-30.0,17,41.225957
-30.0,34,41.806058
-30.0,31,42.21003
-30.0,32,42.638565
-30.0,48,43.374031
-30.0,24,43.701214
-30.0,22,43.988148
-30.0,28,44.354623
-30.0,44,44.912634
-30.0,20,45.171091
-30.0,45,45.758292
-30.0,22,46.062173
-30.0,24,46.365072
-30.0,38,46.846867
-30.0,42,48.018787
-30.0,33,48.443956
-30.0,28,48.804602
-30.0,39,49.304884
-30.0,25,49.617972
-30.0,31,50.032542
-30.0,30,50.431064
-30.0,42,50.977794
-30.0,29,51.361321
-30.0,26,51.687565
-30.0,31,52.099617
-30.0,22,52.420802
-30.0,30,52.815845
-30.0,28,53.17814
-30.0,111,55.346855
-30.0,31,55.762758
-30.0,23,56.091767
-30.0,29,56.498494
-30.0,22,57.113397
-30.0,23,57.443708
-30.0,34,57.917101
-30.0,25,58.260309
-30.0,26,58.624293
-30.0,34,59.060659
-30.0,24,59.662358
-30.0,29,60.045357
-30.0,23,60.347079
-30.0,21,60.622387
-30.0,31,61.017419
-30.0,33,61.45447
-30.0,19,61.685984
-30.0,36,62.198738
-30.0,35,62.706452
-30.0,33,63.823643
-30.0,28,64.220047
-30.0,28,64.592617
-30.0,27,64.971776
-30.0,31,65.377673
-30.0,44,65.965663
-30.0,35,66.429315
-30.0,44,67.001178
-30.0,29,67.421319
-30.0,31,67.832972
-30.0,43,68.422922
-30.0,33,68.848773
-30.0,32,69.29768
-30.0,27,69.644903
-30.0,26,69.988683
-30.0,28,70.371184
-30.0,30,71.472815
-30.0,26,71.843661
-30.0,28,72.222763
-30.0,30,72.628983
-30.0,25,72.945035
-30.0,31,73.3962
-30.0,35,73.870255
-30.0,25,74.226072
-30.0,18,74.478015
-30.0,24,74.798738
-30.0,139,76.729462
-30.0,34,77.212725
-30.0,26,77.568996
-30.0,18,77.829939
-30.0,35,78.986312
-30.0,33,79.454983
-30.0,29,79.884509
-30.0,26,80.205806
-30.0,37,80.692813
-30.0,38,81.33831
-30.0,31,81.74604
-30.0,28,82.496318
-30.0,28,82.871254
-30.0,25,83.216862
-30.0,26,83.734738
-30.0,46,84.47025
-30.0,35,84.94366
-30.0,29,85.365055
-30.0,20,85.636532
-30.0,32,86.05697
-30.0,43,87.353342
-30.0,23,87.676819
-30.0,36,88.441983
-30.0,22,88.752307
-30.0,24,89.090996
-30.0,21,89.401323
-30.0,49,90.114252
-30.0,28,90.506802
-30.0,38,91.021801
-30.0,20,91.31592
-30.0,25,91.661839
-30.0,29,92.074853
-30.0,25,92.42483
-30.0,26,92.799033
-30.0,28,93.201839
-30.0,30,93.629023
-30.0,26,93.999008
-30.0,40,94.535559
-30.0,32,95.711877
-30.0,27,96.088496
-30.0,25,96.457145
30.0,34,96.937493
-30.0,29,97.333838
-30.0,28,97.713062
-30.0,28,98.116011
-30.0,29,98.522034
-30.0,50,99.25541
-30.0,30,99.694902
-30.0,30,100.263536
-30.0,27,100.635927
-30.0,37,101.141192
-30.0,41,101.745922
-30.0,30,102.125665
-30.0,34,102.624116
-30.0,24,103.621437
-30.0,26,103.944232
-30.0,22,104.270397
-30.0,26,104.606627
-30.0,26,104.960349
-30.0,69,105.926256
-30.0,24,106.257662
-30.0,24,106.582994
-30.0,95,107.894478
-30.0,48,108.61791
-30.0,30,109.031568
-30.0,21,109.31497
30.0,58,110.124583
-30.0,32,110.553252
-30.0,33,112.019177
-30.0,36,112.522911
-30.0,30,112.921919
-30.0,22,113.228374
-30.0,29,113.641243
-30.0,17,113.878831
-30.0,63,114.739693
-30.0,25,115.072398
-30.0,49,115.758324
-30.0,40,116.295822
-30.0,27,116.679823
-30.0,54,117.437942
-30.0,29,117.843361
-30.0,23,118.1641
-30.0,40,118.728483
-30.0,23,119.701387
-30.0,26,120.072439
30.0,57,120.867179
-30.0,22,121.194797
-30.0,36,121.706993
-30.0,23,122.039757
30.0,47,122.681294
30.0,27,123.080444
-30.0,24,123.42583
-30.0,29,123.819917
-30.0,26,124.178699
-30.0,23,124.516008
-30.0,24,124.847853
-30.0,21,125.158234
-30.0,50,125.84161
-30.0,24,126.206771
-30.0,23,126.534778
-30.0,23,127.571398
-30.0,55,128.35289
-30.0,27,128.731605
-30.0,21,129.045676
-30.0,26,129.432648
-30.0,25,129.773682
-30.0,25,130.114406
-30.0,39,130.682522
-30.0,24,130.989971
-30.0,28,131.38742
-30.0,25,131.727367
-30.0,20,132.012747
-30.0,17,132.25726
-30.0,23,132.571872
-30.0,33,133.042207
-30.0,21,133.342558
-30.0,31,133.76727
-30.0,29,134.180482
-30.0,17,134.411884
-30.0,18,135.350671
-30.0,29,135.765721
-30.0,24,136.084168
-30.0,20,136.368089
30.0,29,136.782929
-30.0,31,137.213886
-30.0,28,137.61009
-30.0,32,138.074236
-30.0,55,139.160458
-30.0,34,139.620786
-30.0,24,139.975798
-30.0,44,140.618297
-30.0,29,141.026233
-30.0,26,141.405111
-30.0,39,141.932629
-30.0,38,142.463067
-30.0,29,143.58842
-30.0,28,143.994811
-30.0,32,144.455041
-30.0,24,144.792374
-30.0,32,145.212461
-30.0,26,145.578507
-30.0,29,146.019865
-30.0,24,146.34948
-30.0,27,146.725871
30.0,38,147.237875
-30.0,27,147.584343
-30.0,43,148.163396
-30.0,19,148.429816
-30.0,27,148.791777
-30.0,35,149.257742
-30.0,40,149.79748
-30.0,39,150.357234
-30.0,30,151.396252
-30.0,25,151.745604
-30.0,32,152.192363
-30.0,20,152.461682
-30.0,30,152.885919
-30.0,42,153.491687
-30.0,26,153.860097
-30.0,21,154.147165
-30.0,24,154.477395
-30.0,25,154.820453
-30.0,29,155.226866
-30.0,26,155.572569
-30.0,27,155.95838
-30.0,28,156.361739
-30.0,21,156.663033
-30.0,29,157.053283
-30.0,19,157.407532
-30.0,26,157.757957
-30.0,32,158.223793
-30.0,33,159.416242
-30.0,21,159.722174
-30.0,39,160.276776
-30.0,34,160.741712
-30.0,38,161.254544
30.0,21,161.573997
-30.0,23,161.911033
-30.0,35,162.393681
-30.0,19,162.666259
-30.0,90,163.891017
-30.0,32,164.356164
-30.0,22,164.702786
-30.0,41,165.572162
-30.0,28,165.973669
-30.0,19,166.225969
