#{"t_start": 1785949197.7678797, "env_id": "poke-env-v0"}
r,l,t
-43.6,34,2.421366
-44.1,18,2.662234
-45.0,18,2.907259
-39.0,31,3.315664
-38.91,24,3.63859
-47.7,25,3.972379
-42.0,28,4.356559
32.72973,57,5.106435
32.615079,31,5.567419
-36.0,46,6.215283
-37.9,30,6.617498
-41.62,21,6.920748
-38.56,28,7.304822
32.616236,48,7.928372
-38.37,30,8.366009
-44.86,31,9.244613
32.467626,43,10.647931
35.715632,54,11.396628
-39.0,31,11.876552
-33.0,47,12.54023
32.167315,32,12.998237
-33.0,49,13.627786
-42.0,28,14.013242
34.28808,61,14.843736
-35.68,37,15.309536
-37.86,52,15.973827
34.917405,42,16.54108
-38.25,61,18.019037
-35.15,34,18.472786
-40.8,29,18.869967
-35.79,23,19.178414
-38.56,29,19.559142
-36.0,44,20.134053
-44.14,24,20.463654
-38.35,33,20.907277
-43.87,27,21.276394
-45.0,41,21.781124
-41.71,51,22.458808
-38.75,44,23.059808
-41.05,37,23.583189
-36.0,38,24.046862
-32.09,48,25.428864
-36.0,29,25.870366
-38.12,32,26.287026
-41.7,42,26.848641
37.677889,36,27.3944
-35.41,39,27.926604
-40.77,22,28.281804
-38.05,40,28.832043
-46.85,24,29.138427
-31.88,42,29.740926
-38.9,31,30.164315
-35.81,58,30.912824
-38.84,27,31.250137
-35.91,30,31.6495
-35.69,35,32.117892
-41.62,37,33.372636
-35.12,38,33.895453
-40.61,46,34.499406
32.025,31,34.948838
33.0,40,35.771602
-41.43,27,36.155346
-36.0,28,36.507308
-41.81,35,36.976588
-38.34,76,37.941599
-39.0,35,38.454745
-39.0,37,38.913706
-32.09,44,39.472427
35.834586,39,39.984175
-35.62,44,41.259119
-41.35,25,41.634178
-32.76,61,42.445732
35.31493,45,43.041996
-44.36,28,43.395042
-42.0,29,43.776085
-41.2,44,44.32322
-41.35,28,44.67592
-41.15,26,45.021317
-36.0,35,45.600025
-35.94,41,46.144119
-36.0,38,46.641876
-38.16,32,47.08679
32.832836,38,47.570783
34.722289,42,48.818919
-36.0,47,49.449431
-38.32,38,49.939488
-32.17,33,50.3566
-35.55,29,50.739226
30.0,40,51.27555
-32.39,38,51.797754
34.944867,38,52.308863
-32.34,34,52.75159
32.09507,40,53.296082
-32.5,38,53.80195
-33.0,52,54.466483
36.0,30,54.85516
31.956954,50,56.268611
32.661654,43,56.851164
-41.82,32,57.306106
-33.0,35,57.782138
-44.5,38,58.28487
-36.0,29,58.657749
-32.43,48,59.309884
-32.88,47,59.923023
-31.62,34,60.38358
-33.0,33,61.121122
40.384789,42,61.747221
-36.0,40,62.263808
40.093209,28,62.627862
-45.0,29,62.995557
-41.35,41,64.231675
-44.3,21,64.536151
31.51487,37,65.067841
38.044776,24,65.446155
-38.41,28,65.807514
35.01143,52,66.613536
-42.0,16,66.844102
-35.59,33,67.285021
-32.4,43,67.87183
-35.29,85,69.024729
-35.42,37,69.518563
32.268199,37,70.004247
32.3,39,70.507692
38.525319,39,71.661358
-33.0,28,72.015288
-39.0,31,72.402474
34.266824,37,72.898453
-32.88,26,73.234846
38.582329,39,73.76551
-35.52,39,74.275456
-32.45,35,74.725537
39.08569,46,75.324794
38.036036,31,75.736089
32.095238,32,76.142633
32.86,60,76.964206
-40.92,44,77.522162
-38.26,23,77.811023
38.678832,26,78.172958
-41.24,25,79.315403
37.721891,28,79.738364
-35.95,30,80.185918
32.3,31,80.608283
32.180328,36,81.123383
-35.85,58,81.951195
-38.71,33,82.449016
-33.0,30,82.930491
-31.73,32,83.358512
-32.86,37,83.898873
-35.17,25,84.242479
38.019767,33,84.731718
-39.0,33,85.181146
-35.41,45,85.759551
35.705882,65,87.48153
-35.08,27,87.838129
-33.0,29,88.190088
37.485286,26,88.529103
34.541023,57,89.301294
-35.17,29,89.683163
32.504237,27,90.026475
-38.13,60,90.776092
-38.29,36,91.237535
32.836066,44,91.789933
-36.0,36,92.25808
-31.78,37,92.717592
-32.78,34,93.175036
-32.91,51,93.874445
35.032717,34,95.145615
-35.28,38,95.725013
37.655334,63,96.676113
-36.0,37,97.235092
-39.0,27,97.647578
-38.48,29,98.078532
35.966887,48,98.792206
-35.95,30,99.227548
-38.27,27,99.672369
34.790465,31,100.122127
30.0,42,100.765523
39.78348,24,101.117148
38.461498,38,101.662777
37.042554,47,103.105731
-47.26,23,103.488199
32.416974,28,103.910701
35.65528,42,104.526652
-36.0,28,104.917191
32.758755,39,105.447067
-35.73,30,105.862805
39.687249,39,106.388999
-32.47,30,106.980456
32.712121,30,107.348862
-42.0,28,107.710795
38.253012,28,108.07917
-32.14,49,108.759781
-33.0,72,109.734024
32.449612,41,110.27127
-35.75,27,111.250484
-33.0,89,112.522523
35.118148,61,113.443398
