#{"t_start": 1785941150.5520282, "env_id": "poke-env-v0"}
r,l,t
32.755034,82,3.31015
-41.77,81,4.367073
-41.77,45,4.93413
-45.13,52,5.587006
-38.08,30,5.937398
-39.0,21,6.210356
-34.35,93,7.41001
-32.51,55,8.094337
-43.97,31,8.511575
34.817716,105,10.481089
-38.94,27,10.850151
-34.72,33,11.268512
-35.31,41,11.787544
-41.56,31,12.201371
-45.0,75,13.193364
34.801703,60,13.934879
-33.0,29,14.304047
-35.76,34,14.749334
35.098605,66,15.594771
-32.41,33,16.00771
-41.38,24,17.011759
33.0,56,17.718204
-38.31,39,18.23339
-44.49,18,18.481452
-32.61,104,19.787002
-41.67,59,20.554274
-41.04,31,20.973647
34.963646,51,21.69923
-38.08,34,22.131133
-35.61,30,22.535044
40.722365,84,24.334626
32.408784,36,24.772975
-41.04,27,25.137798
-37.67,41,25.649478
32.791667,73,26.572115
-38.09,31,26.982186
34.931416,43,27.530136
32.770213,34,28.049699
-44.26,20,28.555141
35.972441,74,29.52047
-35.72,51,30.158441
-35.32,39,30.670838
37.865779,48,31.943625
-43.6,22,32.255974
-43.89,21,32.518297
32.130268,70,33.429266
-41.95,29,33.817615
-41.2,38,34.326236
35.250726,39,34.819892
32.616236,51,35.668589
-47.48,29,36.035799
38.722433,54,36.735547
-36.0,29,37.121496
-47.09,14,37.305841
32.223022,108,39.39964
32.779851,55,40.131044
-41.87,35,40.600012
40.271525,59,41.377532
-41.5,21,41.644252
-41.72,28,42.001808
34.541402,77,43.015828
-38.03,49,43.632634
-41.7,41,44.179366
33.0,60,44.916573
-35.49,44,45.51926
32.960474,40,46.770217
35.370787,32,47.1707
36.0,29,47.546161
-35.61,33,47.970263
-32.15,50,48.602231
-32.77,37,49.061946
-39.0,27,49.408327
32.319149,66,50.254387
-35.09,29,50.628863
-34.84,52,51.306998
38.502395,77,52.322162
-35.96,30,52.694371
-41.42,28,53.206836
32.870504,51,54.617667
-34.6,35,55.09298
-37.71,30,55.505295
38.767606,46,56.087112
-38.59,32,56.50332
-35.91,27,57.084141
41.379165,46,57.699663
-43.98,19,57.965887
-44.5,26,58.322451
-32.31,43,58.92503
-33.0,37,59.424452
