#{"t_start": 1785941988.361387, "env_id": "poke-env-v0"}
r,l,t
-43.76,41,2.564336
40.100128,53,3.215935
37.929784,56,3.879378
32.291367,51,4.518704
34.941615,64,5.287172
32.509677,66,6.061021
-35.73,51,6.674199
32.097744,90,7.814046
-35.91,57,9.155495
-35.59,72,10.02713
30.0,55,10.730404
35.350087,55,11.421985
32.170909,50,12.050702
-37.1,72,12.946476
34.975418,64,13.733989
37.912069,46,14.337384
41.653373,42,14.853437
-34.75,62,16.280607
40.547114,34,16.696514
-32.75,58,17.412194
-32.14,61,18.138283
35.39859,63,19.188162
-36.58,63,19.969941
40.048851,46,20.553038
33.0,58,21.291184
32.909747,35,21.731138
32.919847,59,22.467979
41.842384,52,23.787675
38.008033,40,24.287152
41.192939,48,24.871268
34.215128,110,26.239938
-32.51,153,28.367718
39.123227,52,29.026643
38.474408,57,29.765524
40.130588,38,30.911577
34.699786,51,31.554224
-35.25,133,33.258754
39.900768,51,33.91303
42.565426,46,34.469906
39.947542,53,35.14607
38.377953,57,35.827938
-35.01,31,36.332415
35.461207,37,36.782522
42.902719,39,37.966535
-33.0,58,38.704375
37.83233,95,39.956058
37.96151,43,40.469434
34.36622,60,41.238595
43.457999,33,41.729935
36.379588,49,42.329721
43.415679,68,43.192732
32.501779,44,43.724421
37.388705,63,45.180758
34.8125,49,46.072824
-32.16,76,47.050377
-32.66,94,48.30726
38.593901,48,48.928307
35.765873,72,49.98425
-32.5,64,50.794794
-32.6,45,51.398743
35.464245,34,51.832958
37.656255,38,52.979284
40.865158,41,53.49863
32.336493,52,54.162808
36.0,38,54.63926
-32.12,38,55.111997
-34.35,53,55.776694
40.594479,59,56.510324
37.43606,49,57.129568
32.477099,94,58.327653
37.67037,51,58.977765
44.062291,94,61.028212
32.088123,51,61.682253
41.302605,45,62.247246
38.155253,34,62.685024
32.055172,71,63.624162
34.263576,40,64.127128
38.441767,46,64.706006
38.368821,46,65.283814
38.617092,55,66.004752
-34.27,44,66.598107
44.815784,31,67.649218
38.589226,33,68.076743
35.805447,48,68.664498
47.650415,27,69.000522
45.026739,37,69.507195
35.426667,56,70.220741
37.603057,44,70.996968
37.760664,40,71.566568
46.078293,60,72.343006
32.183333,67,73.219348
41.401147,54,73.9434
37.345341,28,75.018528
45.523314,46,75.627497
-35.13,43,76.177019
35.322917,54,76.852587
32.938697,93,78.071699
40.494576,55,79.315629
37.062257,28,79.678242
42.17599,45,80.259283
35.470833,39,80.771667
35.883803,47,81.372565
35.15195,58,82.787384
44.231462,26,83.133148
37.983395,44,83.70182
40.299384,46,84.319827
-32.5,69,85.234496
