turn,own_hp,opp_hp,n_legal_switch,n_legal_move,p_switch,p_attack,top_action,top_is_switch,top_prob,margin,value,cf_fullhp_top,cf_flips
1,1.0,1.0,5,8,0.0277,0.9723,25,0,0.5647,0.267,-29.057,25,0
2,0.825,0.53,5,4,0.3107,0.6893,9,0,0.4565,0.1585,-30.869,9,0
1,1.0,1.0,5,8,0.0057,0.9943,22,0,0.5026,0.2622,-22.898,22,0
3,0.646,0.21,5,4,0.3121,0.6879,9,0,0.3638,0.064,-30.985,9,0
1,1.0,1.0,5,8,0.2746,0.7254,25,0,0.2876,0.103,-26.985,25,0
2,1.0,0.36,5,4,0.014,0.986,7,0,0.845,0.709,-24.612,7,0
2,0.631,0.78,5,4,0.5315,0.4685,9,0,0.3934,0.1482,-31.354,9,0
1,1.0,1.0,5,8,0.0048,0.9952,24,0,0.7828,0.6253,-17.537,24,0
4,0.481,1.0,5,4,0.0013,0.9987,9,0,0.9982,0.9971,-30.977,9,0
3,0.251,0.46,5,4,0.5461,0.4539,9,0,0.3291,0.0562,-31.813,9,0
3,0.803,1.0,5,4,0.0223,0.9777,7,0,0.9692,0.956,-25.908,7,0
1,1.0,1.0,5,8,0.1159,0.8841,24,0,0.6204,0.5504,-20.467,24,0
2,1.0,0.28,5,4,0.0088,0.9912,8,0,0.5275,0.2715,-18.313,8,0
3,0.0,0.46,5,0,1.0,0.0,2,1,0.6271,0.4766,-31.748,2,0
4,0.085,0.69,5,4,0.0937,0.9063,7,0,0.8791,0.8075,-27.087,7,0
2,0.648,0.89,5,4,0.4232,0.5768,6,0,0.3606,0.0858,-22.124,6,0
3,1.0,0.28,5,4,0.0089,0.9911,8,0,0.5179,0.2562,-18.293,8,0
5,0.071,1.0,5,4,0.6944,0.3056,4,1,0.6827,0.4898,-29.654,4,0
4,1.0,0.46,4,4,0.4276,0.5724,9,0,0.4427,0.0414,-33.564,9,0
4,0.0,0.17,5,0,1.0,0.0,1,1,0.4553,0.0513,-26.713,4,1
1,1.0,1.0,5,8,0.0052,0.9948,25,0,0.6171,0.4994,-25.259,25,0
3,0.539,0.63,5,4,0.3244,0.6756,6,0,0.5033,0.2873,-21.706,6,0
6,1.0,1.0,5,4,0.0125,0.9875,8,0,0.9223,0.8887,-28.617,8,0
5,1.0,0.17,4,4,0.015,0.985,8,0,0.9799,0.9666,-26.404,8,0
4,0.189,0.33,5,4,0.2191,0.7809,6,0,0.6752,0.5273,-21.999,6,0
4,1.0,1.0,5,4,0.0026,0.9974,7,0,0.9351,0.8734,-17.133,7,0
5,0.507,1.0,4,4,0.8554,0.1446,1,1,0.8523,0.7341,-31.657,1,0
2,0.582,1.0,5,1,0.9971,0.0029,1,1,0.6305,0.4926,-26.641,1,0
1,1.0,1.0,5,8,0.1542,0.8458,22,0,0.3902,0.2055,-27.354,22,0
5,0.189,0.06,5,4,0.1465,0.8535,6,0,0.7736,0.6735,-20.893,6,0
4,0.0,0.91,5,0,1.0,0.0,5,1,0.3381,0.0609,-19.053,5,0
7,0.766,1.0,5,1,0.9997,0.0003,5,1,0.9044,0.8287,-23.849,5,0
6,0.903,1.0,4,4,0.5064,0.4936,7,0,0.398,0.0994,-29.77,7,0
5,0.0,1.0,4,0,1.0,0.0,2,1,0.8638,0.7649,-28.232,2,0
3,0.517,1.0,5,4,0.7834,0.2166,4,1,0.4154,0.1597,-22.328,3,1
2,0.444,0.46,5,4,0.0165,0.9835,7,0,0.962,0.9497,-26.7,7,0
5,0.0,0.06,5,0,1.0,0.0,4,1,0.8869,0.7809,-17.898,4,0
5,1.0,0.91,4,4,0.0313,0.9687,8,0,0.7997,0.7179,-16.205,8,0
8,0.851,1.0,5,4,0.0041,0.9959,7,0,0.9908,0.9869,-19.369,7,0
7,0.681,0.76,4,4,0.4505,0.5495,7,0,0.4451,0.1504,-29.304,7,0
6,0.507,1.0,3,4,0.0201,0.9799,6,0,0.7529,0.6271,-29.261,6,0
4,1.0,1.0,5,4,0.08,0.92,9,0,0.7459,0.66,-25.724,9,0
1,1.0,1.0,5,8,0.0414,0.9586,25,0,0.3794,0.0989,-14.238,25,0
6,1.0,0.06,4,4,0.0597,0.9403,7,0,0.4413,0.0198,-19.778,7,0
2,0.0,0.46,5,0,1.0,0.0,4,1,0.8791,0.8146,-26.476,4,0
9,0.575,1.0,5,4,0.0071,0.9929,7,0,0.9842,0.9774,-21.173,7,0
7,0.0,0.37,4,0,1.0,0.0,4,1,0.3756,0.0727,-29.075,3,1
6,0.0,1.0,3,0,1.0,0.0,3,1,0.9501,0.9176,-28.711,3,0
5,0.424,1.0,5,4,0.2455,0.7545,9,0,0.5193,0.3232,-31.892,9,0
6,0.434,1.0,4,4,0.0032,0.9968,9,0,0.9952,0.9926,-11.467,9,0
2,1.0,0.62,5,4,0.0222,0.9778,9,0,0.8227,0.6822,-11.902,9,0
3,1.0,0.46,4,4,0.0115,0.9885,6,0,0.4281,0.095,-25.306,6,0
10,0.238,1.0,5,4,0.0137,0.9863,7,0,0.9696,0.9562,-23.19,7,0
8,1.0,0.37,3,4,0.0746,0.9254,8,0,0.6492,0.4546,-27.485,8,0
7,1.0,1.0,2,4,0.0017,0.9983,7,0,0.9978,0.9965,-27.327,7,0
5,0.0,1.0,5,0,1.0,0.0,1,1,0.5632,0.1992,-31.097,3,1
1,1.0,1.0,5,8,0.0015,0.9985,25,0,0.3074,0.0182,-7.122,25,0
6,0.0,1.0,4,0,1.0,0.0,2,1,0.4136,0.0674,-16.81,3,1
3,0.455,0.21,5,4,0.0349,0.9651,9,0,0.7539,0.5711,-11.845,9,0
7,0.786,1.0,4,4,0.0051,0.9949,7,0,0.9936,0.9905,-24.485,7,0
11,0.298,0.92,5,4,0.0009,0.9991,6,0,0.9982,0.9975,-10.512,6,0
7,0.0,0.85,2,0,1.0,0.0,5,1,0.9001,0.8002,-29.271,5,0
6,0.517,1.0,4,4,0.8307,0.1693,3,1,0.652,0.535,-31.052,3,0
2,0.474,0.86,5,1,0.3508,0.6492,9,0,0.6492,0.4172,2.288,9,0
7,1.0,1.0,3,4,0.0534,0.9466,9,0,0.3786,0.0933,-20.933,9,0
8,0.538,0.27,4,4,0.0039,0.9961,7,0,0.9919,0.9885,-21.687,7,0
4,0.903,1.0,4,4,0.0028,0.9972,7,0,0.9967,0.9951,-26.465,7,0
9,0.538,1.0,3,4,0.0324,0.9676,9,0,0.8795,0.8077,-26.27,9,0
11,0.0,0.49,5,0,1.0,0.0,4,1,0.9771,0.9662,-2.614,4,0
1,1.0,1.0,5,8,0.0058,0.9942,25,0,0.5678,0.383,-27.526,25,0
8,1.0,0.85,1,4,0.0079,0.9921,8,0,0.3433,0.0763,-28.788,8,0
7,0.586,1.0,4,4,0.1687,0.8313,7,0,0.8199,0.719,-34.41,7,0
2,0.0,0.73,5,0,1.0,0.0,3,1,0.3542,0.02,2.397,3,0
8,1.0,0.55,3,1,0.3701,0.6299,9,0,0.6299,0.3847,-17.865,9,0
4,0.515,1.0,5,4,0.6828,0.3172,1,1,0.6443,0.3736,-5.884,1,0
4,0.0,0.0,4,0,1.0,0.0,2,1,0.9555,0.9307,-25.96,2,0
9,0.0,0.41,3,0,1.0,0.0,3,1,0.554,0.2416,-26.772,3,0
12,0.766,0.49,4,4,0.0051,0.9949,8,0,0.9582,0.9419,-11.496,8,0
1,0.0,1.0,5,0,1.0,0.0,4,1,0.7731,0.6967,-26.585,4,0
9,0.618,0.33,1,4,0.0081,0.9919,6,0,0.498,0.2193,-28.621,6,0
8,0.141,0.55,4,4,0.2118,0.7882,7,0,0.756,0.5793,-34.167,7,0
3,1.0,0.73,4,4,0.0081,0.9919,9,0,0.9194,0.8588,2.872,9,0
9,0.628,0.14,3,1,0.4241,0.5759,9,0,0.5759,0.244,-15.406,9,0
10,1.0,0.41,2,4,0.0388,0.9612,8,0,0.4679,0.1006,-25.2,8,0
5,0.701,1.0,5,4,0.0096,0.9904,8,0,0.4134,0.073,-6.085,7,1
9,0.244,1.0,4,4,0.2513,0.7487,9,0,0.4161,0.2002,-20.376,9,0
5,1.0,1.0,3,4,0.0134,0.9866,7,0,0.9729,0.9596,-24.947,7,0
2,1.0,1.0,4,4,0.0256,0.9744,9,0,0.8428,0.7791,-25.729,9,0
8,0.0,0.55,4,0,1.0,0.0,1,1,0.6877,0.4708,-29.99,5,1
3,0.0,0.17,4,0,1.0,0.0,4,1,0.7333,0.528,-0.021,4,0
5,0.158,0.75,5,0,1.0,0.0,2,1,0.4237,0.192,-11.19,2,0
9,0.0,0.91,4,0,1.0,0.0,5,1,0.7886,0.6733,-20.386,5,0
6,0.455,0.9,3,4,0.0208,0.9792,7,0,0.9639,0.9449,-26.783,7,0
13,0.766,1.0,4,1,0.9884,0.0116,3,1,0.7493,0.546,-5.093,3,0
3,0.672,0.75,4,4,0.1089,0.8911,9,0,0.501,0.302,-25.822,9,0
9,0.517,0.55,3,4,0.5032,0.4968,2,1,0.3348,0.0464,-30.619,2,0
10,0.557,1.0,1,4,0.071,0.929,7,0,0.3694,0.001,-31.409,7,0
4,1.0,0.17,3,4,0.005,0.995,6,0,0.9247,0.8681,-0.473,6,0
6,0.878,0.75,5,4,0.06,0.94,7,0,0.895,0.8428,-12.085,7,0
10,0.628,1.0,3,1,0.2151,0.7849,9,0,0.7849,0.6241,-19.573,9,0
11,0.596,1.0,2,4,0.0772,0.9228,6,0,0.7888,0.6741,-27.706,6,0
10,1.0,0.91,3,4,0.0107,0.9893,6,0,0.6815,0.4595,-15.625,6,0
6,0.0,0.8,3,0,1.0,0.0,1,1,0.9338,0.8718,-27.649,1,0
13,0.0,1.0,4,0,1.0,0.0,4,1,0.9831,0.9675,-13.423,4,0
4,0.44,0.49,4,4,0.1169,0.8831,9,0,0.353,0.0049,-25.87,9,0
10,0.019,0.55,3,4,0.9258,0.0742,1,1,0.9248,0.8534,-32.691,1,0
10,0.0,0.94,1,0,1.0,0.0,4,1,1.0,1.0,-30.736,4,0
11,0.017,0.87,3,1,0.4448,0.5552,9,0,0.5552,0.1574,-22.963,9,0
11,0.0,0.67,2,0,1.0,0.0,5,1,0.9168,0.8336,-31.789,5,0
11,0.322,0.6,3,4,0.0057,0.9943,6,0,0.86,0.7656,-17.782,6,0
7,1.0,0.8,2,4,0.0055,0.9945,7,0,0.9875,0.9809,-28.463,7,0
14,0.766,1.0,3,4,0.0037,0.9963,9,0,0.8058,0.704,-18.353,9,0
5,0.317,0.24,4,4,0.1046,0.8954,6,0,0.4925,0.2551,-25.627,9,1
11,1.0,0.94,0,4,0.0,1.0,8,0,0.7015,0.5231,-31.265,8,0
11,0.129,0.55,3,4,0.3587,0.6413,6,0,0.3995,0.1438,-31.741,2,1
5,0.327,1.0,3,1,0.1145,0.8855,6,0,0.8855,0.7773,-12.45,6,0
7,0.221,1.0,5,4,0.3931,0.6069,8,0,0.3142,0.073,-12.065,7,1
11,0.0,0.74,3,0,1.0,0.0,1,1,0.7169,0.4865,-17.362,3,1
12,1.0,0.67,1,4,0.0155,0.9845,9,0,0.7933,0.6596,-32.055,9,0
11,0.0,0.5,3,0,1.0,0.0,1,1,0.9207,0.8553,-20.586,1,0
8,0.807,0.18,2,4,0.002,0.998,7,0,0.9886,0.9795,-27.7,7,0
14,0.0,1.0,3,0,1.0,0.0,0,1,0.7782,0.5967,-22.212,0,0
12,0.663,0.6,0,4,0.0,1.0,8,0,0.8104,0.7161,-31.73,8,0
11,0.0,0.55,3,0,1.0,0.0,5,1,0.3595,0.0371,-31.001,5,0
5,0.0,1.0,3,0,1.0,0.0,1,1,0.9685,0.9498,-11.305,1,0
7,0.0,0.91,5,0,1.0,0.0,4,1,0.4588,0.091,-12.997,3,1
12,1.0,0.74,2,4,0.0134,0.9866,9,0,0.6602,0.423,-21.19,9,0
13,0.775,0.48,1,4,0.0152,0.9848,9,0,0.7182,0.5091,-31.768,9,0
12,1.0,0.5,2,4,0.0006,0.9994,6,0,0.8791,0.7609,-27.74,6,0
15,0.071,1.0,2,4,0.0209,0.9791,7,0,0.4025,0.0793,-29.659,7,0
12,1.0,0.55,2,4,0.3088,0.6912,6,0,0.4512,0.1686,-31.157,6,0
6,1.0,1.0,2,4,0.0002,0.9998,9,0,0.9982,0.9976,-11.157,9,0
6,0.273,1.0,4,4,0.004,0.996,7,0,0.9958,0.992,-25.35,7,0
13,0.259,0.28,0,4,0.0,1.0,8,0,0.7044,0.4704,-31.319,8,0
8,0.875,0.91,4,4,0.0995,0.9005,6,0,0.7815,0.6878,-14.623,6,0
13,0.376,0.54,2,4,0.0095,0.9905,9,0,0.633,0.4423,-23.194,9,0
14,0.775,0.19,1,4,0.0156,0.9844,9,0,0.641,0.3659,-29.556,9,0
9,0.807,1.0,2,4,0.0157,0.9843,7,0,0.9825,0.9676,-31.187,7,0
15,0.0,1.0,2,0,1.0,0.0,1,1,0.5185,0.0369,-18.43,2,1
13,0.897,0.27,2,4,0.2278,0.7722,6,0,0.5609,0.3531,-30.977,6,0
7,0.877,0.17,2,4,0.0001,0.9999,9,0,0.9979,0.9968,-2.588,9,0
