turn,chosen,chosen_power,chosen_prob,best,best_power,ratio,dominated
1,earthquake,0.0,0.025,spikes,0.0,,0
2,toxic,0.0,0.458,spikes,0.0,,0
1,pyroball,360.0,0.831,pyroball,360.0,1.0,0
3,toxic,0.0,0.384,spikes,0.0,,0
1,drainingkiss,75.0,0.296,diamondstorm,150.0,2.0,1
1,gigadrain,225.0,0.508,gigadrain,225.0,1.0,0
2,drainingkiss,75.0,0.721,diamondstorm,100.0,1.33,0
4,knockoff,65.0,0.412,surf,67.5,1.04,0
3,spore,0.0,0.045,closecombat,240.0,,1
1,focusblast,240.0,0.074,focusblast,240.0,1.0,0
5,tripleaxel,30.0,0.49,surf,67.5,2.25,1
2,spore,0.0,0.058,populationbomb,30.0,,1
3,dracometeor,195.0,0.644,dracometeor,195.0,1.0,0
2,earthquake,150.0,0.797,focusblast,240.0,1.6,1
1,ceaselessedge,65.0,0.042,ceaselessedge,65.0,1.0,0
3,populationbomb,30.0,0.66,populationbomb,30.0,1.0,0
4,playrough,270.0,0.557,playrough,270.0,1.0,0
6,surf,135.0,0.703,surf,135.0,1.0,0
2,ceaselessedge,65.0,0.6,ceaselessedge,65.0,1.0,0
3,uturn,140.0,0.944,uturn,140.0,1.0,0
1,surf,270.0,0.17,surf,270.0,1.0,0
5,earthquake,100.0,0.445,earthquake,100.0,1.0,0
4,earthquake,100.0,0.243,earthquake,100.0,1.0,0
7,knockoff,97.5,0.962,drainpunch,112.5,1.15,0
5,moonblast,285.0,0.992,moonblast,285.0,1.0,0
6,earthquake,100.0,0.538,earthquake,100.0,1.0,0
5,crunch,120.0,0.528,wildcharge,180.0,1.5,0
8,knockoff,97.5,0.986,drainpunch,112.5,1.15,0
3,bodyslam,127.5,0.9,bodyslam,127.5,1.0,0
1,psychicfangs,127.5,0.107,psychicfangs,127.5,1.0,0
6,moonblast,285.0,0.988,moonblast,285.0,1.0,0
2,shadowball,120.0,0.73,psyshock,120.0,1.0,0
4,bodyslam,127.5,0.939,bodyslam,127.5,1.0,0
7,playrough,67.5,0.37,earthquake,100.0,1.48,0
4,hydropump,165.0,0.677,hurricane,165.0,1.0,0
5,bodyslam,127.5,0.965,bodyslam,127.5,1.0,0
2,blizzard,660.0,0.745,blizzard,660.0,1.0,0
6,earthquake,100.0,0.465,earthquake,100.0,1.0,0
1,leechseed,0.0,0.111,powerwhip,180.0,,1
9,knockoff,97.5,0.945,knockoff,97.5,1.0,0
7,bugbuzz,67.5,0.332,moonblast,71.2,1.06,0
5,hurricane,165.0,0.525,hurricane,165.0,1.0,0
6,bodyslam,127.5,0.978,bodyslam,127.5,1.0,0
7,earthquake,100.0,0.703,earthquake,100.0,1.0,0
3,moonblast,142.5,0.503,blizzard,165.0,1.16,0
8,earthquake,150.0,0.545,hydropump,165.0,1.1,0
2,powerwhip,120.0,0.377,powerwhip,120.0,1.0,0
10,knockoff,97.5,0.892,knockoff,97.5,1.0,0
1,gigadrain,225.0,0.141,gigadrain,225.0,1.0,0
8,bugbuzz,67.5,0.316,moonblast,71.2,1.06,0
4,dazzlinggleam,160.0,0.407,dazzlinggleam,160.0,1.0,0
8,earthquake,100.0,0.878,earthquake,100.0,1.0,0
4,moonblast,142.5,0.556,blizzard,165.0,1.16,0
9,earthquake,150.0,0.498,hydropump,165.0,1.1,0
3,powerwhip,120.0,0.229,powerwhip,120.0,1.0,0
11,knockoff,97.5,0.922,knockoff,97.5,1.0,0
2,gigadrain,150.0,0.882,gigadrain,150.0,1.0,0
9,bugbuzz,67.5,0.301,moonblast,71.2,1.06,0
5,dazzlinggleam,160.0,0.794,dazzlinggleam,160.0,1.0,0
7,terablast,80.0,0.526,earthquake,100.0,1.25,0
6,poltergeist,165.0,0.916,poltergeist,165.0,1.0,0
10,hydropump,165.0,0.524,hydropump,165.0,1.0,0
4,earthquake,200.0,0.699,earthquake,200.0,1.0,0
10,fireblast,110.0,0.906,darkpulse,120.0,1.09,0
5,zenheadbutt,120.0,0.88,mightycleave,285.0,2.38,1
8,terablast,80.0,0.602,earthquake,100.0,1.25,0
9,earthquake,200.0,0.96,earthquake,200.0,1.0,0
