#{"t_start": 1785951660.0291102, "env_id": "poke-env-v0"}
r,l,t
-35.5,53,2.774746
-44.65,27,3.178527
-42.36,22,3.463055
-42.0,28,3.869046
-41.05,23,4.184401
-41.76,29,4.609328
-40.87,47,5.261318
-45.0,27,5.629024
-41.54,26,6.000124
-41.19,24,6.502576
-44.5,20,6.761981
-42.0,23,7.070927
-42.0,35,7.512717
-42.87,34,7.973279
-44.97,24,8.283796
-43.5,25,8.639874
-38.79,27,9.015635
-41.7,19,10.290521
-44.03,19,10.558533
-37.6,54,11.283602
-39.0,28,11.662847
-47.35,65,12.532255
-34.82,39,13.063958
-36.0,26,13.410125
-47.43,20,13.691931
-44.33,27,14.066888
-40.94,33,14.510886
-32.69,32,14.943493
-43.98,28,15.325955
-43.94,25,15.691542
-44.12,48,16.344008
-38.91,33,17.053041
-35.26,36,18.708763
-41.42,27,19.098088
-38.0,33,19.567001
-38.53,44,20.161587
-46.54,26,20.549866
-35.09,38,21.061831
-42.0,40,21.59496
-44.41,51,22.281822
-44.82,20,22.585548
-38.33,45,23.25056
-38.53,30,23.668741
-41.19,37,24.159966
-32.78,51,24.877061
-32.7,126,28.056298
-40.11,33,28.474814
-43.96,30,28.912152
-41.36,30,29.324594
-38.49,30,29.739552
-38.36,23,30.067633
-38.68,23,30.4266
-39.0,26,30.805175
-41.21,23,31.130043
-42.18,37,31.644768
-44.67,24,32.050687
-40.98,27,32.430235
-41.13,27,32.83018
-44.2,22,33.290027
-44.11,19,33.572902
-42.0,24,33.889336
-47.24,26,34.262447
-35.62,25,34.61483
-48.0,21,35.893356
-45.0,21,36.180017
-41.24,46,36.787598
-32.8,44,37.406857
-38.86,38,37.92228
-38.48,23,38.232802
-41.45,28,38.611934
-41.78,26,38.977417
-38.94,30,39.38169
-35.74,27,39.764471
-45.0,40,40.307691
-38.55,27,40.69089
-42.0,28,41.083135
-35.95,32,41.495641
-38.35,40,42.028674
-38.68,32,42.44785
-47.09,26,43.719584
-44.3,23,44.020004
-38.3,36,44.48967
-41.86,37,44.97762
-35.19,34,45.452562
-43.38,25,45.814846
-34.61,33,46.252678
-36.0,33,46.694975
-41.06,33,47.158769
-42.0,24,47.485692
-40.73,34,47.967489
-32.34,44,48.575642
-39.95,36,49.079086
-45.0,20,49.352832
-41.48,25,50.430296
-32.71,35,50.911288
-41.61,20,51.190354
-40.21,35,52.60757
-41.25,20,52.881859
-42.0,20,53.156896
-35.57,28,53.52358
-35.22,38,54.053619
-41.06,34,54.515325
-41.54,25,54.893856
-41.09,29,55.363345
-44.81,27,55.758388
-43.97,36,56.269972
-44.62,23,56.600102
-41.7,30,57.012163
-35.54,35,57.511621
-44.77,35,57.983887
-38.8,29,58.38236
-47.22,54,59.321324
-38.14,24,60.686429
-38.34,22,60.995088
-38.48,35,61.496435
-38.34,27,62.090975
-45.0,19,62.368157
-35.44,33,62.817866
-40.37,30,63.238878
-41.95,22,63.552544
-37.75,33,63.976522
-37.83,41,64.570049
-35.04,25,64.900752
-43.97,31,65.313175
-38.57,22,65.619087
-41.7,37,66.146482
-42.0,27,66.521099
-40.43,24,66.82834
-38.03,23,67.138842
-45.0,24,67.475405
-44.24,27,67.844538
-44.06,26,69.130113
-38.09,32,69.545579
-32.72,38,70.070506
-46.64,21,70.361339
-42.0,31,70.793508
-38.05,33,71.231639
-42.0,24,71.581332
-35.54,40,72.121924
-41.03,31,72.542755
-41.12,30,72.935758
-36.0,39,73.451979
-38.2,34,73.906821
-38.07,30,74.312222
-38.71,21,74.587304
-37.7,23,74.885638
-41.16,30,75.264956
-41.45,26,75.596087
-44.07,26,76.907202
-43.38,16,77.099515
-32.91,29,77.484214
-41.37,25,77.854003
32.325153,27,78.361793
-39.0,42,78.916809
-41.88,24,79.263394
-40.87,24,79.59048
-38.27,28,79.970868
-43.64,27,80.32939
-44.45,23,80.671554
-38.9,23,80.984975
-38.07,29,81.396458
-38.38,27,81.779792
-38.11,30,82.203101
-40.1,33,82.765537
-36.0,27,83.153549
-46.57,25,83.482784
-41.54,28,83.890898
-38.84,25,85.182773
-41.25,24,85.51799
-39.0,55,86.499765
-35.5,31,86.927815
-38.63,33,87.356044
-41.7,27,87.703932
-38.8,35,88.20869
-44.62,26,88.681055
-41.3,30,89.200997
-44.17,25,89.534401
-38.0,31,89.943495
-42.0,26,90.294451
-41.43,26,90.62784
-38.52,25,90.997208
-44.41,19,91.254121
-35.8,32,91.718348
-34.14,40,92.260295
-35.25,34,93.728048
-35.59,42,94.320714
-33.0,31,94.771345
-35.74,33,95.250272
-40.93,36,95.756115
-32.98,33,96.211805
-32.83,33,96.669446
-37.73,23,96.991547
-41.21,23,97.325846
32.338583,36,97.904369
-42.0,26,98.306695
-41.82,48,99.006686
-44.52,25,99.362384
-40.64,34,99.843584
-35.91,29,100.6619
-44.04,29,101.078658
-38.91,29,102.430439
-35.47,40,102.960688
-34.22,31,103.375285
-32.01,34,103.831178
-33.0,32,104.258211
-41.73,21,104.563804
-38.24,26,104.913369
-41.27,21,105.208726
-41.18,28,105.578281
-38.17,26,105.939465
-39.0,27,106.289807
-44.88,19,106.570973
-35.52,41,107.126185
-46.69,37,107.604424
-41.72,24,107.943795
-41.23,26,108.311307
-44.48,24,108.639352
-44.06,22,108.946245
-35.91,41,110.438549
-40.99,27,110.847119
-33.0,43,111.43529
-36.0,31,112.046344
-41.79,23,112.361474
-36.0,27,112.713374
-42.0,23,113.037985
32.231441,47,113.659643
-38.59,37,114.165697
-41.16,24,114.499384
-35.06,31,114.918987
-36.0,35,115.389949
-41.4,19,115.641169
-42.0,20,115.925497
-37.17,34,116.389125
-35.27,32,116.824095
-38.4,23,117.12231
-35.88,35,118.549861
-44.29,23,118.872211
-42.0,25,119.19732
-35.77,39,119.739556
-41.93,28,120.126865
-38.14,32,120.580813
-35.72,33,121.04454
-43.78,24,121.37946
-41.79,23,121.704099
-41.32,31,122.112842
-41.49,25,122.451821
-42.0,18,122.705974
-41.76,30,123.159916
-38.46,30,123.567236
-41.31,28,123.943929
38.444043,33,124.396307
-38.63,42,124.960266
-39.0,29,126.298759
-45.0,26,126.650435
-40.76,31,127.081092
-40.97,27,127.425434
32.169173,32,127.85595
-40.35,25,128.18951
-40.75,27,128.536487
-44.57,23,128.831911
-46.96,13,129.017311
-41.47,22,129.302896
-38.36,26,129.671765
-41.43,23,129.986177
-31.82,44,130.575871
-47.08,18,130.836591
-41.38,27,131.240635
-38.64,19,131.487799
-32.06,32,131.931244
-38.82,40,132.481729
-44.74,22,132.787875
-41.5,26,133.175
-37.84,30,134.882376
-35.65,30,135.297189
32.5,61,136.123519
-35.5,26,136.487073
-36.0,26,136.827463
-38.79,26,137.310802
-44.25,31,137.813344
-38.25,29,138.198475
-38.08,22,138.509197
-38.91,26,138.861324
-43.2,20,139.141681
-41.49,19,139.425769
-32.91,40,139.990685
-37.43,31,140.438246
-41.23,18,140.676723
-44.44,25,141.023378
-41.11,27,141.410898
-38.18,29,142.73029
-38.38,27,143.091055
32.5625,32,143.529194
-38.38,29,143.91647
32.682464,36,144.385423
-38.62,23,144.700109
-37.93,27,145.086014
-41.06,30,145.509643
-41.05,29,145.91814
-38.16,33,146.388501
-41.6,23,146.71489
-38.14,32,147.144025
-35.34,37,147.667054
-38.66,24,148.002919
-41.07,35,148.496738
32.707317,26,148.849029
-32.89,29,149.259048
-44.17,21,149.560664
-33.0,29,150.920989
-38.81,41,151.484515
-44.39,27,151.868211
-39.0,24,152.201126
-41.55,23,152.50678
32.791209,59,153.294618
33.0,72,154.240472
-44.04,24,154.567492
-39.0,27,154.949983
-41.75,30,155.387158
-35.67,62,156.188411
-38.91,25,156.517099
-38.11,27,156.887309
32.047431,45,157.483837
41.473684,17,158.607242
34.594262,99,159.922623
-35.71,31,160.332817
-45.0,25,160.6767
-32.02,33,161.112529
35.245643,37,161.603984
-42.0,28,161.983619
-35.06,30,162.456048
35.136029,37,163.160198
-34.82,54,163.877716
-44.46,13,164.068579
-38.02,26,164.406793
-36.0,33,164.851363
-44.47,26,165.194539
-38.54,24,165.517421
-41.25,25,166.821295
-37.8,29,167.263563
32.582781,31,167.74745
-32.82,44,168.417623
-32.33,33,168.876637
-32.1,29,169.335135
-35.25,32,169.80214
-35.52,28,170.229789
-34.82,47,170.934725
-41.02,21,171.23421
-38.49,34,171.75311
-42.0,26,172.145179
-44.89,23,172.469428
-43.84,39,173.080002
38.016461,33,173.56796
32.301205,33,174.048353
33.575935,27,175.51724
-36.0,34,176.011922
-37.19,28,176.422588
-37.86,31,176.873973
-36.0,31,177.343368
-38.99,22,177.842359
-33.0,31,178.307702
-36.0,28,178.733273
-41.11,26,179.113708
-32.48,32,179.595724
-43.72,21,179.914871
-32.58,42,180.529522
-40.94,20,180.852836
-36.0,23,181.193116
-37.76,43,181.843522
-39.0,24,182.217228
-39.0,31,182.715163
-38.6,25,183.091736
-35.4,33,184.636849
-37.87,27,185.058451
-35.68,28,185.491187
-35.35,44,186.15468
-35.03,29,186.595401
30.0,34,187.106349
-35.3,30,187.536926
-41.62,20,187.827825
-38.91,35,188.370637
-42.0,24,188.715016
-44.38,26,189.087488
-36.0,31,189.527776
-35.62,29,190.145688
-35.95,44,190.70972
-32.91,33,191.161064
-38.5,28,191.540114
-38.83,21,191.829709
-36.0,30,193.12393
-37.38,25,193.456855
44.140288,16,193.692031
39.0,28,194.408033
-41.51,18,194.654431
-40.59,25,195.002871
-34.23,49,195.682252
-44.09,20,195.957023
-38.26,25,196.303633
-35.24,30,196.740391
-40.61,27,197.120378
-37.26,28,197.528131
-36.0,39,198.114151
-39.0,33,198.589685
-39.0,23,198.903341
-31.87,31,199.322677
-40.87,31,199.777225
-38.67,30,200.24629
-39.0,29,201.583722
-35.65,36,202.10251
-37.83,30,202.515829
-38.14,20,202.781411
-43.24,20,203.071723
-36.0,28,203.455314
-44.5,29,203.847805
