#{"t_start": 1785942847.688465, "env_id": "poke-env-v0"}
r,l,t
-44.05,17,2.283011
-41.88,66,3.200594
-44.44,23,3.521996
-41.07,26,3.854297
-41.64,34,4.295162
-44.91,26,4.658634
-41.83,31,5.068526
-45.0,20,5.354205
-41.31,27,5.709444
-42.0,34,6.19648
-41.52,25,6.49808
-38.78,39,7.022783
-38.88,37,7.551661
-42.0,28,7.951816
-39.0,38,8.487818
-41.67,46,9.768562
-35.77,32,10.208643
-44.02,26,10.551451
-37.73,28,10.928845
-38.71,35,11.414957
-44.85,18,11.648116
-38.15,53,12.362851
-41.55,119,14.078713
-45.0,29,14.464544
33.0,88,15.666392
-41.6,25,16.015551
-41.41,19,16.286103
-35.19,28,16.653941
-44.55,24,17.968675
-41.2,30,18.426832
-47.96,29,19.003328
-36.0,59,19.974628
-41.5,35,20.51075
-38.25,40,21.091349
-47.5,16,21.327667
-42.0,30,21.742929
-36.0,26,22.145919
-44.54,29,22.613637
-39.0,51,23.361648
-41.79,18,23.635068
-42.0,22,24.010691
-37.77,28,24.433251
-44.71,21,24.767575
-41.62,25,25.150674
-38.19,35,25.690772
-42.0,25,26.794705
-45.0,19,27.151836
-44.61,28,27.581696
-44.88,32,28.093246
-38.77,63,29.192833
-38.65,24,29.596491
-32.18,61,30.700403
-41.16,23,31.112526
-41.36,24,31.468925
-41.26,22,31.819606
-44.75,30,32.25485
-41.2,29,33.006439
-41.73,38,34.744621
-41.47,104,40.617731
-44.45,55,41.70051
-41.58,28,42.179155
-38.2,21,42.571721
-43.47,27,43.037223
-36.0,29,43.518725
-47.27,22,43.86172
-41.08,31,44.339221
-45.0,17,44.631111
-43.77,32,45.213639
-40.96,29,45.751269
-41.11,29,46.38534
-35.57,35,46.996108
38.159533,23,47.490069
-41.25,26,47.933287
-41.13,27,48.437978
-41.81,20,48.770386
-42.0,22,49.177132
-42.0,38,50.809087
-38.4,24,51.162222
-45.0,38,51.744138
-40.36,37,52.289349
-41.24,31,53.063778
-40.57,24,53.43304
-44.02,26,53.828712
-41.26,20,54.139761
-41.9,37,54.668825
-38.12,30,55.145976
-41.26,21,55.475971
-41.67,29,55.95102
-40.85,26,56.355418
-41.01,24,56.701501
-35.42,45,57.389742
-41.09,18,57.651215
-41.39,39,58.343439
-37.62,23,59.2688
-36.0,30,60.477813
-38.42,21,60.838385
-38.2,34,61.343123
-41.33,28,61.762757
