turn,own_hp,opp_hp,n_legal_switch,n_legal_move,p_switch,p_attack,top_action,top_is_switch,top_prob,margin,value,cf_fullhp_top,cf_flips
1,1.0,1.0,5,8,0.6391,0.3609,4,1,0.3559,0.107,-19.937,4,0
2,0.768,1.0,5,8,0.0321,0.9679,6,0,0.3422,0.0424,-18.704,22,1
1,1.0,1.0,5,8,0.1849,0.8151,22,0,0.4609,0.3581,-19.261,22,0
3,0.312,1.0,5,8,0.0984,0.9016,7,0,0.2972,0.0096,-19.879,22,1
2,0.718,0.6,5,4,0.4115,0.5885,6,0,0.2709,0.0341,-19.382,6,0
1,1.0,1.0,5,8,0.0613,0.9387,9,0,0.4598,0.3271,3.46,9,0
3,0.0,1.0,5,0,1.0,0.0,1,1,0.5771,0.3205,-19.866,2,1
1,1.0,1.0,5,8,0.0269,0.9731,7,0,0.3169,0.0638,-22.352,7,0
3,0.17,0.22,5,4,0.2918,0.7082,6,0,0.3236,0.1377,-20.481,6,0
4,1.0,1.0,4,8,0.2281,0.7719,7,0,0.2005,0.0304,-21.085,7,0
1,1.0,1.0,5,8,0.2658,0.7342,23,0,0.3626,0.1776,-17.485,23,0
2,0.901,0.8,5,8,0.0227,0.9773,22,0,0.3468,0.1109,-22.564,22,0
2,0.903,1.0,5,8,0.3959,0.6041,23,0,0.4228,0.1744,4.017,23,0
3,0.0,0.13,5,0,1.0,0.0,1,1,0.4165,0.2012,-16.824,2,1
1,1.0,1.0,5,8,0.0015,0.9985,7,0,0.3358,0.0762,-14.64,7,0
5,0.765,0.55,4,2,0.7663,0.2337,5,1,0.303,0.1098,-18.417,2,1
2,0.608,0.55,5,4,0.1251,0.8749,7,0,0.8274,0.7635,-9.24,7,0
2,0.0,0.26,5,0,1.0,0.0,1,1,0.3607,0.0597,2.869,1,0
3,0.5,0.34,5,4,0.0998,0.9002,7,0,0.5047,0.3485,-22.539,9,1
2,0.543,0.27,5,8,0.0043,0.9957,22,0,0.3873,0.094,-12.47,24,1
4,1.0,0.13,4,4,0.1362,0.8638,7,0,0.4626,0.084,-14.489,7,0
6,0.775,0.61,4,8,0.1971,0.8029,8,0,0.261,0.0953,-18.98,24,1
1,1.0,1.0,5,8,0.0429,0.9571,24,0,0.8585,0.8151,-23.838,24,0
3,1.0,0.26,4,4,0.0001,0.9999,7,0,0.9999,0.9998,9.347,7,0
3,0.365,0.1,5,4,0.2773,0.7227,7,0,0.5169,0.3296,-7.028,7,0
3,0.0,0.13,5,0,1.0,0.0,1,1,0.4781,0.2128,-17.148,4,1
1,1.0,1.0,5,8,0.1791,0.8209,23,0,0.2311,0.0184,-16.705,23,0
5,0.692,0.03,4,4,0.1768,0.8232,7,0,0.5063,0.2098,-15.803,7,0
3,0.543,1.0,5,4,0.7072,0.2928,1,1,0.3341,0.0865,-2.534,1,0
7,0.543,0.06,4,8,0.1593,0.8407,8,0,0.2771,0.0863,-18.148,8,0
2,0.639,0.6,5,4,0.3836,0.6164,8,0,0.2804,0.0499,-16.745,7,1
2,0.431,1.0,5,4,0.6594,0.3406,4,1,0.2741,0.0298,-11.703,8,1
4,1.0,1.0,4,4,0.0881,0.9119,7,0,0.8911,0.8129,7.859,7,0
4,1.0,0.13,4,4,0.0451,0.9549,7,0,0.5003,0.2296,-16.868,7,0
1,1.0,1.0,5,8,0.0286,0.9714,24,0,0.4457,0.1472,-21.453,24,0
3,0.0,1.0,5,0,1.0,0.0,5,1,0.4325,0.1099,-7.34,5,0
3,0.609,1.0,5,4,0.5062,0.4938,9,0,0.2802,0.1145,-13.626,7,1
4,0.0,0.36,4,0,1.0,0.0,3,1,0.812,0.6967,5.021,4,1
3,0.495,0.17,5,4,0.4355,0.5645,8,0,0.2587,0.0385,-13.294,7,1
4,0.365,1.0,5,4,0.6783,0.3217,3,1,0.5431,0.274,-8.273,9,1
5,1.0,0.13,4,4,0.0437,0.9563,7,0,0.4838,0.1877,-17.001,7,0
4,1.0,1.0,4,4,0.3924,0.6076,7,0,0.3184,0.0683,-7.025,7,0
1,1.0,1.0,5,8,0.0683,0.9317,24,0,0.5125,0.3834,-19.36,24,0
4,0.751,1.0,5,4,0.5439,0.4561,9,0,0.203,0.0103,-13.053,7,1
6,0.397,1.0,4,4,0.1379,0.8621,6,0,0.6118,0.3987,-18.195,6,0
8,0.603,1.0,4,8,0.1122,0.8878,22,0,0.6929,0.5905,-12.146,22,0
5,1.0,0.36,3,4,0.0006,0.9994,9,0,0.5315,0.0641,6.82,9,0
2,0.881,1.0,5,4,0.0352,0.9648,8,0,0.9316,0.9085,-25.267,8,0
5,0.285,1.0,5,4,0.5792,0.4208,7,0,0.2356,0.046,-8.804,1,1
5,0.606,1.0,4,4,0.3491,0.6509,7,0,0.269,0.0717,-8.202,7,0
2,0.39,0.36,5,4,0.1982,0.8018,7,0,0.338,0.0358,-11.137,6,1
6,1.0,0.13,4,4,0.0628,0.9372,7,0,0.4123,0.14,-21.557,7,0
5,0.406,1.0,5,4,0.5,0.5,9,0,0.3019,0.0839,-14.619,9,0
6,0.0,1.0,4,0,1.0,0.0,2,1,0.4233,0.196,-23.081,5,1
9,0.505,1.0,4,4,0.4206,0.5794,9,0,0.3662,0.1018,-12.779,8,1
4,0.427,1.0,5,4,0.6105,0.3895,2,1,0.1876,0.0005,-12.937,7,1
3,0.497,0.26,5,4,0.0021,0.9979,8,0,0.9942,0.9918,-22.282,8,0
6,0.285,0.52,5,1,0.7436,0.2564,4,1,0.3569,0.1006,-6.434,7,1
6,0.046,1.0,4,4,0.2416,0.7584,7,0,0.34,0.1034,-13.926,7,0
7,0.328,0.13,4,4,0.2469,0.7531,7,0,0.4461,0.2879,-23.554,7,0
2,0.0,0.36,5,0,1.0,0.0,1,1,0.4253,0.1601,-14.236,2,1
6,0.563,1.0,5,4,0.5394,0.4606,9,0,0.2569,0.0796,-13.842,7,1
7,1.0,1.0,3,4,0.0115,0.9885,8,0,0.9561,0.9346,-17.903,8,0
6,1.0,1.0,3,4,0.0,1.0,7,0,0.9999,0.9998,9.127,7,0
10,0.41,1.0,4,4,0.4577,0.5423,9,0,0.3492,0.0495,-13.065,8,1
5,0.549,1.0,5,4,0.0435,0.9565,7,0,0.9293,0.9056,-18.068,7,0
7,1.0,0.52,5,4,0.0042,0.9958,7,0,0.9742,0.9555,-7.047,7,0
7,0.0,0.13,4,0,1.0,0.0,4,1,0.3342,0.0128,-19.832,5,1
6,0.0,1.0,4,0,1.0,0.0,2,1,0.4709,0.2074,-7.156,2,0
3,1.0,0.36,4,4,0.0014,0.9986,7,0,0.9984,0.9978,-16.489,7,0
