#{"t_start": 1789619950.4158263, "env_id": "poke-env-v0"}
r,l,t
-39.08,48,3.645441
-38.03,25,4.059445
-47.03,19,4.375078
-34.98,50,5.231914
-38.85,30,5.730359
-38.12,33,6.305817
-44.32,19,6.590394
-44.77,24,7.004017
-41.7,77,8.389321
-44.52,24,8.89892
-41.24,31,9.457243
-41.29,23,9.927459
-38.29,25,10.403311
-41.72,54,11.472906
-41.35,24,11.886966
-41.78,34,14.959326
-47.09,21,15.302336
-44.76,28,15.761317
-38.88,43,16.496966
-42.0,29,16.958983
-39.0,22,17.34691
-42.89,38,17.931754
-41.81,22,18.29166
-35.13,64,19.420606
-41.16,27,19.939079
-38.16,36,20.585185
-38.22,34,21.240417
-38.15,39,22.012575
-44.36,21,22.405207
-41.46,29,22.980885
-41.89,21,23.356179
32.14218,48,26.517525
-38.93,27,26.995963
-41.38,32,27.481429
-39.0,33,28.015955
-39.0,24,28.419456
-38.45,37,29.053961
-44.5,58,29.994405
-47.6,23,30.358395
-33.0,29,30.792427
-42.0,35,31.406231
-38.79,43,32.24269
-41.02,34,32.889383
-38.85,37,33.607012
-41.95,28,34.117475
-38.84,27,34.675826
-41.79,27,37.550486
-35.87,29,38.085876
-33.0,40,38.757823
-44.09,28,39.219925
-43.58,37,39.838173
-41.97,32,40.526353
-44.39,19,40.86308
-44.68,38,41.505918
-43.97,35,42.120501
-44.02,25,42.526087
-38.03,27,42.953669
-45.0,25,43.359438
-45.0,18,43.728451
-40.74,39,44.469327
-34.48,38,45.256032
-44.65,22,45.692244
-34.85,39,46.431462
-44.53,22,49.182139
-38.57,35,49.748602
-45.0,21,50.129736
-32.43,32,50.654983
-38.37,21,50.986599
-41.33,26,51.437823
-41.13,40,52.349242
-40.42,32,52.907747
-36.0,34,53.534049
-38.2,29,53.969394
-41.84,27,54.417774
-35.76,28,54.903934
-38.12,27,55.458551
-41.12,31,56.105011
-46.19,33,56.775488
-44.48,23,57.227243
-38.64,31,57.792385
-38.48,32,60.660284
-44.32,23,61.044085
-34.67,32,61.560702
-41.1,36,62.117116
-38.53,32,62.681224
-41.47,27,63.159103
-41.42,33,63.779266
-41.93,22,64.152162
-38.97,28,64.688026
-36.47,27,65.114581
-44.88,23,65.486935
-38.81,25,65.93231
-41.43,34,66.50445
-35.95,33,67.114877
-43.68,21,67.520829
-41.67,25,68.024589
-36.0,40,68.771715
-41.46,27,69.319293
-36.0,34,72.194021
-39.0,46,72.901338
-43.83,19,73.1754
-35.94,35,73.703743
-41.71,33,74.234968
-42.0,48,75.11531
-44.14,20,75.493977
-47.22,23,75.865102
-46.83,42,76.547077
-41.04,32,77.080641
-38.91,24,77.499856
-42.0,22,77.927997
-41.19,21,78.344155
-41.22,21,78.831989
-41.03,32,79.415253
-39.0,25,79.902108
-38.36,24,80.386764
-41.27,23,80.834927
-35.48,39,83.729414
-40.71,42,84.430828
-41.71,41,85.129672
-35.94,68,86.385679
-36.0,30,86.988457
-41.28,29,87.542737
-40.92,26,88.063293
