turn,own_hp,opp_hp,n_legal_switch,n_legal_move,p_switch,p_attack,top_action,top_is_switch,top_prob,margin,value,cf_fullhp_top,cf_flips
1,1.0,1.0,5,8,0.0191,0.9809,23,0,0.643,0.464,-21.363,23,0
2,0.384,0.51,5,4,0.0504,0.9496,7,0,0.7734,0.6825,-13.089,7,0
1,1.0,1.0,5,8,0.0181,0.9819,25,0,0.9644,0.9534,-9.15,25,0
3,0.03,0.02,5,4,0.0198,0.9802,7,0,0.8951,0.842,-9.996,7,0
1,1.0,1.0,5,8,0.0604,0.9396,25,0,0.8887,0.8565,-27.929,25,0
2,0.527,1.0,5,4,0.0013,0.9987,9,0,0.9986,0.9973,-15.45,9,0
3,0.0,0.1,5,0,1.0,0.0,1,1,0.7909,0.5862,-4.641,1,0
1,1.0,1.0,5,8,0.0014,0.9986,24,0,0.9955,0.9925,-16.689,24,0
1,0.0,0.17,5,0,1.0,0.0,2,1,0.3424,0.1205,-30.122,3,1
2,0.0,1.0,5,0,1.0,0.0,3,1,0.9653,0.9502,-10.575,3,0
4,1.0,0.1,4,4,0.0,1.0,6,0,1.0,1.0,-9.329,6,0
1,1.0,1.0,5,8,0.035,0.965,24,0,0.3441,0.1469,-7.283,24,0
2,1.0,0.17,4,4,0.1004,0.8996,8,0,0.7045,0.6051,-27.115,8,0
2,0.689,0.04,5,1,0.0061,0.9939,8,0,0.9939,0.988,-8.786,8,0
3,1.0,1.0,4,4,0.2647,0.7353,8,0,0.7151,0.5212,-13.157,8,0
2,0.91,0.77,5,4,0.2472,0.7528,9,0,0.4634,0.2489,-12.468,9,0
2,0.0,0.0,4,0,1.0,0.0,5,1,0.4315,0.1414,-34.616,5,0
4,0.43,0.29,4,4,0.0466,0.9534,8,0,0.9308,0.9082,-13.893,8,0
1,1.0,1.0,5,8,0.0539,0.9461,23,0,0.7381,0.6239,-31.44,23,0
3,0.833,0.32,5,4,0.3263,0.6737,9,0,0.3872,0.0869,-10.511,9,0
3,0.689,1.0,5,1,0.9711,0.0289,1,1,0.6225,0.4082,-18.554,1,0
5,0.488,1.0,4,4,0.2647,0.7353,9,0,0.3474,0.1196,-14.05,9,0
4,0.0,0.29,4,0,1.0,0.0,4,1,0.7243,0.4816,-13.303,4,0
3,1.0,1.0,3,4,0.161,0.839,9,0,0.4409,0.2769,-33.14,9,0
1,1.0,1.0,5,8,0.0194,0.9806,25,0,0.6658,0.4008,-21.153,25,0
2,0.831,0.04,5,4,0.0,1.0,7,0,1.0,1.0,-26.358,7,0
4,0.746,0.13,5,4,0.6473,0.3527,1,1,0.6014,0.4559,-8.902,1,0
4,0.323,0.91,5,4,0.1815,0.8185,7,0,0.7929,0.6792,-19.05,7,0
5,1.0,0.29,3,4,0.025,0.975,7,0,0.9731,0.9497,-14.416,7,0
5,0.0,1.0,4,0,1.0,0.0,2,1,0.5741,0.3379,-10.342,2,0
5,0.421,0.45,5,4,0.0095,0.9905,7,0,0.977,0.9642,-14.278,7,0
4,0.0,0.16,5,0,1.0,0.0,3,1,0.6946,0.4938,-11.362,0,1
4,0.79,0.84,3,4,0.2036,0.7964,9,0,0.4711,0.3031,-33.64,9,0
5,0.0,0.0,3,0,1.0,0.0,1,1,0.48,0.1102,-16.309,2,1
2,1.0,0.83,5,4,0.7394,0.2606,5,1,0.3309,0.1592,-11.335,5,0
1,1.0,1.0,5,8,0.0007,0.9993,24,0,0.992,0.9848,-13.583,24,0
6,1.0,1.0,3,4,0.1439,0.8561,8,0,0.4346,0.2278,-12.661,8,0
3,0.225,1.0,5,4,0.0668,0.9332,6,0,0.9036,0.837,-32.996,6,0
5,1.0,0.16,4,4,0.0,1.0,7,0,0.9979,0.9959,-11.448,7,0
6,1.0,1.0,2,4,0.0706,0.9294,8,0,0.5903,0.354,-15.135,8,0
3,0.674,0.83,5,4,0.0073,0.9927,6,0,0.9703,0.9599,-10.842,6,0
5,0.594,0.73,3,4,0.2753,0.7247,9,0,0.4045,0.2259,-34.862,9,0
1,1.0,1.0,5,8,0.5178,0.4822,25,0,0.4109,0.0214,-19.476,25,0
3,0.0,1.0,5,0,1.0,0.0,1,1,0.7979,0.6733,-30.274,1,0
6,0.29,1.0,5,1,0.5422,0.4578,7,0,0.4578,0.2063,-12.998,4,1
