#{"t_start": 1789619894.7270472, "env_id": "poke-env-v0"}
r,l,t
-40.53,28,5.724682
-41.18,28,6.559583
-35.2,33,7.192143
-39.0,26,7.710797
-41.63,26,8.216911
-38.69,26,8.655328
-45.0,35,9.307394
-44.62,26,9.710786
-41.71,21,10.009706
-41.5,27,10.401821
-44.34,22,10.674586
-41.31,25,10.997624
-41.22,35,11.466986
-40.53,27,11.810742
-36.0,28,12.140701
-41.13,33,12.530637
-41.11,28,12.881618
-38.81,40,16.700499
-41.48,23,17.178808
-45.0,26,17.74393
-44.79,26,18.46957
-35.74,42,19.259882
-44.22,27,19.664532
-41.01,39,20.199007
-44.77,36,20.667601
-38.55,26,21.008506
-44.25,39,21.749971
-40.42,34,22.325781
-41.53,34,22.953181
-38.6,48,23.820975
-43.2,36,24.418584
-38.3,32,24.968326
-41.56,22,25.38874
-47.49,21,27.578853
-40.9,23,27.92432
-45.0,21,28.200027
-44.12,35,29.15935
-45.0,17,29.465681
-41.14,25,30.208167
-41.19,24,30.700844
-39.0,23,31.079829
-44.38,18,31.375068
-41.71,29,31.826997
-37.59,33,32.356031
-38.76,22,32.703611
-38.01,37,33.307175
-47.21,28,33.75323
-41.1,32,34.312072
-38.91,30,34.789095
-44.13,29,35.261407
-40.84,25,35.655754
-44.13,21,36.010961
-44.33,23,36.381654
-42.0,26,38.569124
-41.4,25,38.909649
-42.0,39,39.450331
-43.51,24,39.878315
-43.7,51,40.62594
-43.96,25,41.095458
-44.37,23,41.470501
-35.18,31,41.984727
-35.81,29,42.459755
-41.19,27,42.877737
-41.45,28,43.299979
-41.22,25,43.695637
-41.45,25,44.116328
-39.0,26,44.515733
-41.45,28,44.931818
-38.91,29,45.391112
-44.71,19,45.701844
-34.74,36,46.337728
-41.1,36,48.876139
-47.54,20,49.176429
-42.0,27,49.539288
-41.47,27,49.879689
-44.35,26,50.438071
33.0,33,51.190567
-38.99,39,52.076609
-41.39,27,52.661232
-32.15,38,53.449839
-39.0,37,54.332427
-38.8,27,54.984283
-38.23,27,55.696293
-43.61,24,56.17155
-44.02,20,56.494667
-41.24,35,57.109822
-45.0,29,57.636431
-39.0,25,58.070907
-41.3,29,60.893641
-41.01,33,61.451184
35.338078,42,62.161266
-41.38,35,62.758626
-44.82,77,64.16188
-40.74,35,64.812878
-41.91,34,65.502898
-38.45,29,66.090053
-44.27,35,66.730956
-43.92,24,67.181313
-40.52,29,67.710587
-41.15,21,68.082011
-38.56,28,68.545499
-36.0,27,69.000493
-41.83,27,69.441587
-37.62,34,69.989404
-41.15,24,72.702962
-41.89,26,73.141829
-41.18,23,73.683025
-41.83,45,74.413131
-45.0,26,74.858607
-41.71,18,75.20987
-44.13,22,75.615788
-38.78,31,76.20364
-39.0,29,76.905771
-43.67,19,77.293379
-44.09,27,77.819897
-44.35,20,78.184803
-41.01,27,78.685185
-42.0,27,79.326494
-44.22,32,79.86719
-32.59,41,80.568289
-38.85,43,81.366273
-41.28,26,81.828108
-41.71,33,84.608316
-41.36,19,84.926027
-41.32,20,85.263358
-44.39,41,85.912199
-43.87,30,86.396031
-34.74,45,87.161085
-45.0,25,87.638273
-42.0,19,87.999544
-32.97,48,88.921543
-43.95,34,89.540425
-46.87,19,89.872566
-45.92,29,90.463139
-35.43,38,91.093004
-38.17,36,91.622829
-43.09,35,92.247344
-39.0,29,92.740126
-35.75,32,95.798955
-33.0,27,96.33343
-41.4,20,96.694718
-38.48,23,97.072789
-37.79,24,97.50067
-38.62,26,97.904665
-38.09,29,98.328318
-38.15,28,98.78635
-38.47,32,99.361634
-39.0,30,99.998126
-41.81,25,100.483945
-46.16,29,101.047725
-41.19,29,101.588646
-37.91,27,102.114851
-41.49,36,102.72703
-38.82,29,103.209753
-44.02,21,103.580073
-36.45,25,104.001478
-44.11,31,104.556514
-44.09,24,107.271946
-37.94,38,107.833156
-38.84,31,108.345688
-35.88,29,108.807671
-41.18,36,109.460745
-47.17,25,109.856651
-41.02,21,110.211882
-41.45,27,110.674571
-38.84,29,111.253954
-41.81,42,112.113617
-33.0,35,112.791134
-41.8,29,113.33302
-38.44,24,113.787246
-47.32,21,114.187484
-44.72,23,114.580093
-45.0,21,114.911387
-41.42,24,115.301523
-44.61,22,115.676412
-36.0,38,118.569163
-37.61,28,119.101361
-32.4,30,119.685514
32.123457,34,120.450119
-32.5,36,121.047729
-30.0,38,121.664431
34.966146,30,122.147362
-38.8,32,122.729795
-38.7,34,123.375012
-35.15,41,124.212897
-40.12,28,124.758138
-33.0,28,125.276702
-36.0,38,125.904152
-38.11,48,126.690925
-42.0,24,127.108633
-44.68,22,127.4779
35.093496,31,130.223436
-35.48,26,130.741499
-38.45,26,131.217779
32.230769,33,131.727433
-44.08,35,132.311462
-32.33,36,132.931633
-36.0,42,133.693658
-35.64,33,134.385382
-35.94,27,134.974077
-42.0,27,135.469612
-32.02,42,136.293903
-40.84,23,136.70396
35.514658,27,137.139873
-38.16,30,137.649188
-35.44,30,138.132195
-36.0,27,138.557373
-41.2,32,141.377665
-38.78,31,142.041905
-43.77,17,142.396393
-32.75,34,143.102506
-41.64,23,143.523048
-38.27,21,143.898249
32.327935,31,144.575832
32.532508,39,145.22347
-39.0,32,145.809681
-41.44,31,146.465997
32.140426,33,147.259079
-35.94,25,147.862006
-48.0,12,148.125571
-32.07,39,148.959565
-33.0,30,149.414125
-38.08,25,149.792684
-33.0,40,150.409987
-41.32,23,150.808082
37.698023,26,153.699142
-35.26,44,154.515026
-43.28,23,154.959009
-41.68,35,155.732149
-38.58,27,156.197554
-35.9,31,156.740442
-38.04,38,157.439676
-41.2,28,157.926404
-43.44,26,158.500494
-35.88,32,159.062002
-38.82,24,159.512992
-38.48,27,160.004829
-44.26,22,160.352472
-38.25,27,160.776795
-33.0,30,161.279379
-44.31,20,161.60567
-37.6,71,165.15217
-35.32,51,165.995709
-32.1,35,166.669964
-41.38,25,167.13604
-38.02,26,167.546715
-41.88,27,167.998568
-39.0,28,168.446096
30.0,31,169.03846
-41.25,38,169.701574
-38.08,34,170.328303
-32.81,40,171.069924
-35.22,41,171.775697
-36.0,26,172.189275
-41.2,23,172.579866
-41.65,30,173.060249
-42.0,20,173.346427
-37.71,30,173.909282
-43.78,22,176.48615
-41.28,26,177.020582
38.339535,25,177.321883
-41.14,26,177.797808
-38.49,38,178.465985
-35.66,31,179.022564
-39.0,24,179.425298
-41.63,22,179.833378
-38.49,41,180.66841
-32.55,33,181.45243
-41.32,25,182.023436
-36.0,33,182.86209
-32.65,35,183.775526
-41.26,31,184.393728
32.894068,28,184.98479
-37.21,31,185.514625
-36.0,27,185.950698
-39.78,29,188.656977
-38.27,27,189.161333
-38.57,25,189.618371
-39.0,21,189.92199
-32.81,35,190.620518
32.1341,28,191.110071
-41.13,27,191.604586
32.235294,31,192.124009
-38.71,27,192.521306
-35.59,30,193.072417
-43.63,22,193.415135
-39.0,33,193.996012
-39.0,25,194.369177
-41.16,23,194.778386
-44.17,16,195.442005
-38.72,28,195.915386
-38.23,36,196.481482
-38.63,27,196.889428
-32.73,37,199.576089
-36.0,25,199.995682
34.620053,30,200.526865
-43.56,23,200.913935
-38.51,29,201.480516
-41.09,26,202.053811
-35.24,33,202.692289
-37.56,30,203.2035
-40.75,31,203.660306
-36.0,27,204.018974
-44.17,22,204.365196
-38.0,35,204.995919
-38.23,28,205.62938
-39.0,46,206.472305
32.097315,29,206.88704
-35.24,26,207.239994
-42.0,28,207.623587
-39.0,26,207.988638
-41.58,26,210.487051
-35.63,37,211.143739
-44.4,24,211.593517
34.539861,27,212.032603
-32.22,32,212.57497
-36.0,43,213.307285
-32.31,35,213.855855
-34.88,34,214.265621
-32.16,31,214.7358
-32.59,35,215.206584
-35.71,25,215.568921
-36.0,30,216.125615
-39.0,30,216.69999
-38.61,26,217.126125
32.31457,38,217.744957
-41.15,23,218.111004
-32.34,40,221.107234
-41.13,20,221.502576
-38.24,23,221.924706
-38.78,31,222.532762
-32.6,34,223.177704
-35.11,37,223.854869
35.299296,68,225.115167
-41.81,24,225.558631
-32.16,30,226.009506
-35.04,30,226.511616
33.0,28,226.970364
-32.53,37,228.025578
-45.0,27,228.56576
-43.85,46,229.369803
-38.69,24,229.766747
-37.96,27,230.197874
-44.69,22,232.748431
-40.56,32,233.374436
-35.88,22,233.78931
-41.45,23,234.210969
-35.24,23,234.824725
35.90106,26,235.256617
32.846457,37,235.921422
-32.84,31,236.487993
-41.32,28,236.889292
-37.93,28,237.322448
-41.55,21,237.627867
-38.49,21,237.98406
-40.87,27,238.486112
-34.62,34,239.048654
-41.6,22,239.435695
-34.6,26,239.869792
-41.3,17,240.149647
-35.59,29,240.604063
-32.37,33,241.094741
32.641379,33,243.774049
35.181208,26,244.186038
31.885906,37,244.857501
-41.08,24,245.685701
-38.79,25,246.123031
-32.87,34,246.716411
-41.22,24,247.100297
-35.5,37,247.699449
-41.17,28,248.09208
-39.0,33,248.599905
-35.66,28,249.165431
-38.93,30,249.708934
-35.84,26,250.13699
-31.83,30,250.645274
-31.54,32,251.112679
-36.0,30,251.544211
-35.48,30,251.974777
-38.73,25,252.368223
-37.55,29,254.889276
34.660569,38,255.547647
-39.0,27,256.003598
-38.5,19,256.365827
-32.63,29,256.811491
32.900794,35,257.294146
-32.18,37,257.845141
-35.06,31,258.297727
-32.35,34,258.815494
-32.5,32,259.366565
-36.0,29,259.869744
-41.27,31,260.402504
-35.61,33,261.045686
-32.25,35,261.625371
32.131783,31,262.145563
-40.95,27,262.599434
-35.77,26,265.669018
-38.33,24,266.090061
-37.74,25,266.532974
-38.91,29,267.034638
-35.67,30,267.651253
-35.38,27,268.223962
-35.46,27,268.624543
32.27907,33,269.142953
-32.05,27,269.593296
-38.09,29,270.033625
-32.91,29,270.498539
-38.54,22,270.872661
-41.57,25,271.322665
-37.16,29,271.925997
-44.4,31,272.436325
-38.45,26,272.818624
32.704724,27,273.218624
-38.18,22,273.558672
-36.27,33,274.03395
-36.0,35,276.686056
-38.36,26,277.118333
-35.89,31,277.667404
-42.0,27,278.123036
-35.08,30,278.608629
-35.81,27,279.070696
-35.03,31,279.550092
37.390672,25,279.928649
-41.22,31,280.392267
36.0,31,280.845047
33.0,31,281.313393
-39.0,19,281.637539
-35.64,25,282.084516
32.418699,35,282.67152
-32.05,35,283.221262
-38.42,24,283.576249
-35.73,30,284.021091
-36.0,28,284.445965
-35.51,34,287.935017
-35.23,23,288.330899
32.110656,29,288.845527
-37.63,22,289.240952
-36.0,25,289.731668
-32.47,27,290.250423
-32.06,24,290.626294
-35.21,35,291.197715
-38.58,27,291.611845
-36.0,30,292.106882
-38.25,30,292.546533
-37.35,26,293.027654
-36.0,29,293.461124
-36.0,26,293.838788
-38.35,26,294.234803
-35.23,30,294.689098
-39.0,23,295.059492
-40.46,22,295.448874
-35.22,28,295.920505
-41.19,30,298.499226
-38.22,19,298.821291
38.568182,25,299.271709
-35.95,30,299.822469
-41.24,24,300.231093
-35.48,28,300.743064
-40.71,20,301.124663
32.380228,27,301.609601
-38.49,31,302.032724
-35.38,32,302.518303
35.47557,27,302.884485
-32.99,88,304.15796
-32.38,28,304.557628
-32.17,32,305.004017
-41.63,30,305.456087
-38.5,19,305.822581
-38.22,27,308.181198
-38.26,21,308.394275
-41.4,28,308.662218
-32.34,31,308.976542
-38.46,23,309.200214
-38.68,24,309.682733
32.053957,34,310.273342
32.416667,28,310.812079
-39.0,22,311.216425
-38.31,28,311.676118
34.741121,26,312.29096
32.777003,35,312.896663
-38.81,24,313.297292
-39.0,25,313.753558
-41.67,21,314.111767
-36.0,29,314.575429
-42.0,17,314.821839
-44.32,31,315.300845
-36.0,29,315.777506
-34.67,95,319.65105
-33.0,32,320.217197
35.208609,36,320.912391
-37.45,24,321.369633
-41.25,24,321.816659
-35.59,46,322.671488
-32.15,30,323.234621
-32.56,32,323.881855
-38.8,39,324.562242
-33.0,33,325.154481
-38.21,24,325.579217
-33.0,22,325.940758
-40.54,31,326.38883
-32.88,32,326.827593
38.037037,23,327.137101
-47.13,19,327.430464
