turn,own_hp,opp_hp,n_legal_switch,n_legal_move,p_switch,p_attack,top_action,top_is_switch,top_prob,margin,value,cf_fullhp_top,cf_flips
1,1.0,1.0,5,8,0.0707,0.9293,22,0,0.6016,0.423,20.714,22,0
2,0.611,0.16,5,4,0.0118,0.9882,9,0,0.8968,0.8334,19.407,9,0
1,1.0,1.0,5,8,0.0016,0.9984,23,0,0.9519,0.9335,-6.507,23,0
2,0.183,0.22,5,4,0.023,0.977,7,0,0.8128,0.7393,-0.394,7,0
3,0.199,1.0,5,4,0.6426,0.3574,4,1,0.6149,0.4252,13.952,6,1
1,1.0,1.0,5,8,0.0012,0.9988,8,0,0.7471,0.5253,18.707,8,0
1,1.0,1.0,5,8,0.0582,0.9418,22,0,0.6462,0.49,-19.355,22,0
2,0.0,0.12,5,0,1.0,0.0,2,1,0.2709,0.0089,1.8,1,1
4,0.766,1.0,5,4,0.0,1.0,7,0,0.9442,0.8883,8.039,7,0
1,0.0,0.58,5,0,1.0,0.0,4,1,0.5391,0.3153,9.283,1,1
2,0.826,0.84,5,4,0.3725,0.6275,6,0,0.3605,0.0966,-26.179,6,0
3,1.0,0.12,4,4,0.0,1.0,6,0,1.0,1.0,4.55,6,0
4,0.0,0.09,5,0,1.0,0.0,1,1,0.5482,0.3308,6.449,1,0
1,1.0,1.0,5,8,0.4473,0.5527,4,1,0.4206,0.2273,-5.843,4,0
3,0.422,0.66,5,4,0.2966,0.7034,6,0,0.4111,0.26,-26.569,6,0
2,1.0,0.58,4,8,0.002,0.998,23,0,0.3763,0.1424,17.046,23,0
5,1.0,0.09,4,4,0.0002,0.9998,9,0,0.9023,0.8412,9.018,9,0
1,1.0,1.0,5,8,0.0024,0.9976,22,0,0.8376,0.7552,20.657,22,0
2,0.76,1.0,5,8,0.0002,0.9998,8,0,0.9445,0.9124,-1.596,8,0
4,0.031,0.5,5,4,0.3909,0.6091,6,0,0.317,0.1767,-27.071,6,0
4,0.235,1.0,4,4,0.3788,0.6212,6,0,0.3465,0.0317,-0.963,6,0
2,0.677,0.81,5,4,0.0013,0.9987,7,0,0.9969,0.9951,18.165,7,0
1,1.0,1.0,5,8,0.0004,0.9996,23,0,0.8782,0.8128,16.608,23,0
4,0.0,0.27,5,0,1.0,0.0,1,1,0.3532,0.0959,-18.974,2,1
3,0.527,1.0,5,8,0.0006,0.9994,8,0,0.912,0.8575,-2.608,8,0
4,0.0,0.87,4,0,1.0,0.0,1,1,0.3301,0.021,-0.008,3,1
6,1.0,1.0,4,1,0.9615,0.0385,0,1,0.6336,0.4717,-1.233,0,0
3,0.273,1.0,4,4,0.0135,0.9865,6,0,0.7859,0.6008,-14.76,7,1
1,1.0,1.0,5,8,0.0003,0.9997,22,0,0.8775,0.7878,-14.076,22,0
1,1.0,1.0,5,8,0.0395,0.9605,22,0,0.4304,0.1414,-6.844,22,0
5,1.0,0.27,4,4,0.04,0.96,8,0,0.5234,0.1347,-15.877,8,0
3,0.131,0.22,5,4,0.0027,0.9973,7,0,0.8925,0.7882,17.873,7,0
2,0.241,0.34,5,1,0.5763,0.4237,7,0,0.4237,0.056,9.061,7,0
5,1.0,0.87,3,4,0.0083,0.9917,9,0,0.9795,0.9687,-2.129,9,0
7,0.199,1.0,4,4,0.5818,0.4182,3,1,0.2681,0.0779,1.694,9,1
4,0.327,1.0,5,8,0.0017,0.9983,8,0,0.8786,0.7992,-3.032,8,0
3,0.0,0.53,4,0,1.0,0.0,1,1,0.5988,0.2991,-16.957,1,0
2,0.301,0.72,5,4,0.0501,0.9499,6,0,0.8783,0.8431,-6.797,6,0
2,0.873,0.26,5,4,0.0,1.0,6,0,0.9995,0.999,-18.1,6,0
3,0.0,0.28,5,0,1.0,0.0,3,1,0.3949,0.0753,10.425,1,1
6,0.295,0.03,3,4,0.0855,0.9145,9,0,0.8907,0.8098,-2.291,9,0
8,0.599,1.0,4,4,0.1179,0.8821,9,0,0.5201,0.2603,-8.395,7,1
4,1.0,0.53,3,4,0.0,1.0,6,0,0.9208,0.8416,-18.482,6,0
6,0.903,1.0,4,4,0.3597,0.6403,8,0,0.4264,0.1434,-13.895,8,0
3,0.374,0.41,5,4,0.0023,0.9977,6,0,0.9515,0.9152,-3.698,6,0
1,1.0,1.0,5,8,0.0054,0.9946,22,0,0.7066,0.5907,-1.467,22,0
8,0.0,0.32,4,0,1.0,0.0,0,1,0.5177,0.2443,-8.333,1,1
3,0.126,1.0,5,1,0.0475,0.9525,7,0,0.9525,0.9077,13.087,7,0
4,1.0,0.28,4,4,0.0721,0.9279,9,0,0.9146,0.8882,8.92,9,0
5,0.103,1.0,5,8,0.0005,0.9995,25,0,0.5324,0.0689,-0.212,23,1
6,0.0,0.13,4,0,1.0,0.0,3,1,0.3238,0.0727,-9.87,5,1
3,0.0,0.13,5,0,1.0,0.0,1,1,0.5088,0.2865,-0.42,1,0
5,1.0,0.64,3,4,0.0028,0.9972,7,0,0.941,0.8866,-14.536,7,0
3,0.5,1.0,5,4,0.0,1.0,9,0,0.9947,0.9894,-16.987,9,0
7,0.295,1.0,3,4,0.4429,0.5571,9,0,0.5238,0.2053,-6.523,9,0
3,0.0,0.48,5,0,1.0,0.0,1,1,0.99,0.9827,11.989,1,0
9,0.199,0.32,3,4,0.2413,0.7587,6,0,0.2947,0.0108,-7.744,9,1
5,0.0,1.0,5,0,1.0,0.0,2,1,0.5056,0.2613,13.367,1,1
7,1.0,0.13,3,4,0.5605,0.4395,4,1,0.5054,0.3521,-8.281,4,0
2,0.473,1.0,5,1,0.9255,0.0745,4,1,0.6636,0.5404,-1.602,4,0
4,1.0,0.13,4,4,0.0005,0.9995,8,0,0.9933,0.9882,2.435,8,0
5,0.0,0.42,3,0,1.0,0.0,2,1,0.6198,0.2762,-20.406,3,1
7,0.0,0.73,3,0,1.0,0.0,5,1,0.3724,0.0343,-0.775,5,0
3,0.0,1.0,5,0,1.0,0.0,5,1,0.3705,0.1171,-13.458,1,1
4,1.0,0.48,4,4,0.0,1.0,7,0,1.0,1.0,14.462,7,0
5,1.0,1.0,4,4,0.0472,0.9528,9,0,0.5866,0.3129,14.318,9,0
6,1.0,1.0,4,4,0.0,1.0,6,0,1.0,1.0,17.074,6,0
8,0.891,0.03,3,4,0.2583,0.7417,9,0,0.6398,0.533,-9.994,9,0
3,1.0,1.0,5,4,0.0,1.0,9,0,0.9997,0.9994,2.231,9,0
6,1.0,0.42,2,4,0.008,0.992,8,0,0.552,0.3259,-18.65,8,0
8,1.0,0.73,2,4,0.0074,0.9926,7,0,0.6005,0.311,-3.52,7,0
4,1.0,1.0,4,4,0.8754,0.1246,2,1,0.3877,0.0813,-13.595,2,0
4,0.0,0.48,4,0,1.0,0.0,2,1,0.5296,0.2053,9.409,2,0
6,0.4,0.63,4,4,0.046,0.954,6,0,0.5959,0.3852,10.326,9,1
10,0.199,1.0,3,4,0.4472,0.5528,5,1,0.3549,0.1341,-10.459,5,0
5,1.0,0.48,3,4,0.2772,0.7228,8,0,0.4476,0.1797,11.923,8,0
4,0.0,1.0,4,0,1.0,0.0,3,1,0.3961,0.1036,-19.093,3,0
5,0.738,1.0,4,4,0.0765,0.9235,9,0,0.8746,0.826,0.297,9,0
6,0.0,0.53,4,0,1.0,0.0,5,1,0.579,0.3104,5.67,5,0
7,1.0,1.0,4,4,0.0,1.0,7,0,0.9496,0.9087,14.121,7,0
11,0.051,1.0,3,4,0.0597,0.9403,6,0,0.4635,0.2321,-22.798,9,1
9,0.113,1.0,3,4,0.6494,0.3506,2,1,0.4074,0.2036,-19.022,2,0
4,1.0,1.0,5,1,0.8862,0.1138,1,1,0.407,0.1764,-0.602,1,0
5,1.0,1.0,3,4,0.4819,0.5181,4,1,0.3586,0.1141,-23.107,4,0
5,0.0,0.17,3,0,1.0,0.0,4,1,0.5898,0.31,11.607,4,0
7,0.003,1.0,2,1,0.1267,0.8733,8,0,0.8733,0.7727,-27.483,8,0
9,0.436,1.0,2,4,0.1124,0.8876,9,0,0.4033,0.1276,-8.427,7,1
7,1.0,0.53,3,4,0.0766,0.9234,9,0,0.548,0.2135,7.588,9,0
6,0.103,0.11,4,4,0.065,0.935,9,0,0.9124,0.8815,1.737,9,0
8,1.0,0.76,4,4,0.0,1.0,6,0,0.8365,0.6781,15.94,6,0
11,0.0,0.69,3,0,1.0,0.0,0,1,0.6303,0.3993,-23.96,0,0
6,1.0,0.17,2,4,0.0261,0.9739,7,0,0.4104,0.1139,7.961,7,0
5,0.451,0.91,5,4,0.0,1.0,7,0,1.0,1.0,0.763,7,0
6,0.136,1.0,3,4,0.3368,0.6632,8,0,0.294,0.0637,-23.979,8,0
7,0.0,0.78,2,0,1.0,0.0,3,1,0.8909,0.7817,-32.873,3,0
10,0.773,1.0,3,4,0.0004,0.9996,7,0,0.9967,0.9943,-5.62,7,0
10,0.111,0.77,2,4,0.1058,0.8942,7,0,0.3402,0.0811,-9.501,9,1
6,0.0,0.11,4,0,1.0,0.0,2,1,0.3836,0.0452,0.662,3,1
8,1.0,0.15,3,4,0.0276,0.9724,6,0,0.4882,0.025,7.789,6,0
12,0.199,0.69,2,4,0.2111,0.7889,6,0,0.3472,0.1475,-25.128,9,1
9,1.0,0.4,4,4,0.0,1.0,6,0,0.9994,0.9988,16.329,6,0
7,0.447,0.17,2,4,0.012,0.988,7,0,0.3863,0.0338,7.806,7,0
8,1.0,0.78,1,4,0.0088,0.9912,9,0,0.4721,0.2474,-35.828,9,0
5,0.0,0.81,5,0,1.0,0.0,3,1,0.8249,0.69,0.421,3,0
6,0.0,0.14,3,0,1.0,0.0,3,1,0.4991,0.1403,-20.082,3,0
10,0.0,1.0,3,0,1.0,0.0,3,1,0.6065,0.4023,-18.644,3,0
10,0.0,0.77,2,0,1.0,0.0,4,1,0.8997,0.7995,-8.7,4,0
7,1.0,0.11,3,4,0.0017,0.9983,7,0,0.9541,0.9209,-0.85,7,0
12,0.0,0.23,2,0,1.0,0.0,2,1,0.7502,0.5003,-25.62,2,0
10,1.0,0.03,4,4,0.0,1.0,6,0,1.0,1.0,16.972,6,0
11,1.0,1.0,2,4,0.2777,0.7223,8,0,0.3096,0.0402,-23.344,8,0
7,0.0,0.17,2,0,1.0,0.0,3,1,0.7539,0.5078,6.536,3,0
6,1.0,0.81,4,4,0.0026,0.9974,6,0,0.8292,0.6879,4.25,6,0
7,1.0,0.14,2,4,0.0619,0.9381,7,0,0.7089,0.6143,-27.016,7,0
11,1.0,0.77,1,4,0.1593,0.8407,9,0,0.7725,0.6133,-10.475,9,0
9,0.944,1.0,3,4,0.3657,0.6343,6,0,0.4072,0.1822,4.71,6,0
13,1.0,0.23,1,4,0.0281,0.9719,9,0,0.7742,0.6304,-29.457,9,0
12,0.768,0.74,2,4,0.1198,0.8802,8,0,0.5038,0.3314,-24.12,8,0
11,0.0,0.77,1,0,1.0,0.0,3,1,1.0,1.0,-14.064,3,0
8,1.0,0.17,1,4,0.1149,0.8851,8,0,0.4031,0.0217,-3.952,8,0
7,1.0,0.81,4,4,0.0075,0.9925,6,0,0.5771,0.2218,2.665,6,0
8,0.258,0.14,2,4,0.0376,0.9624,7,0,0.6684,0.4691,-35.619,7,0
9,0.326,0.53,1,4,0.0002,0.9998,9,0,0.7848,0.6517,-35.903,9,0
