#{"t_start": 1789619920.6490214, "env_id": "poke-env-v0"}
r,l,t
-46.44,18,3.366426
-47.52,20,3.872309
-40.66,28,4.536313
-41.28,26,5.005054
-39.0,27,5.44926
32.909968,40,6.071736
-44.89,78,7.362418
-41.17,32,7.87156
-41.74,25,8.30725
-43.16,23,8.654197
-37.13,35,9.225762
-32.78,53,10.078424
-44.16,18,10.373331
-41.67,28,10.79109
-46.58,23,11.106572
-38.23,40,14.303417
-41.44,34,14.859286
-44.91,23,15.23744
-44.82,18,15.520013
-38.31,42,16.176046
-41.08,27,16.646523
-41.31,28,17.095822
-43.44,23,17.447555
-39.96,30,17.914365
-44.72,25,18.329489
-41.76,30,18.787434
-41.61,66,19.83173
-41.95,36,20.411918
-43.57,26,20.798421
-38.79,24,21.133244
-41.64,27,21.511208
-38.15,20,21.78143
32.451362,27,22.156853
32.082759,38,25.178514
-35.64,28,25.872038
-41.73,33,26.620191
-41.9,28,27.245803
-39.0,34,28.001784
-43.89,25,28.574766
-39.0,29,29.294228
-38.57,33,30.175004
-38.71,29,30.666937
-45.0,18,30.96869
-41.17,33,31.552328
-38.64,23,31.954489
32.63,58,32.912579
-46.65,19,33.218966
-44.02,26,33.662383
-44.45,26,34.093588
31.540248,76,37.884875
-44.35,19,38.253789
-38.73,29,38.800471
-40.75,24,39.255607
-32.22,51,40.265951
-43.81,22,40.707991
-35.53,33,41.301611
-43.82,30,41.860703
-44.15,40,42.468482
-44.47,26,42.892508
-41.06,30,43.378225
-46.98,39,44.014456
-41.91,32,44.527888
-35.81,32,45.073358
-44.19,33,45.638807
-40.85,30,46.16259
-38.62,29,49.182057
-38.06,33,49.810299
32.597701,55,51.041364
-41.1,26,51.555809
-40.36,32,52.171985
-35.07,32,52.800373
-41.11,28,53.26827
-41.29,32,53.793737
-38.42,36,54.357043
-41.02,24,54.804167
-40.74,27,55.286442
-44.8,26,55.883608
-44.71,18,56.20453
-38.06,30,56.691415
-35.82,29,57.171196
-38.13,34,57.777843
-38.83,29,60.992736
-42.0,22,61.385111
-41.97,25,61.870222
-41.02,23,62.314077
-47.13,19,62.681442
-41.54,28,63.237523
-37.68,27,63.749019
-44.48,32,64.36561
-35.33,31,64.925819
-39.0,49,65.966255
-40.6,32,66.528579
-39.0,31,67.126159
-44.25,26,67.603647
-41.79,22,68.040047
-41.65,23,68.448784
-39.0,34,69.021466
-35.84,30,69.51208
32.720588,33,70.157434
-35.6,27,73.071903
-45.0,19,73.42807
-41.51,47,74.347328
-38.28,31,74.948501
-38.24,37,75.690157
-32.73,49,76.589555
-39.0,20,76.904205
-41.8,35,77.515869
-44.71,24,77.914809
32.012346,32,78.492138
-36.0,31,79.003825
-46.48,20,79.345351
-44.69,35,79.924638
-41.63,30,80.406285
-41.81,24,80.770706
-44.09,21,81.127062
-38.54,23,81.541989
-47.52,27,84.697625
-43.35,27,85.291704
-38.54,26,85.824697
-33.0,26,86.368147
-45.0,20,86.75753
-38.46,33,87.380354
-41.88,24,87.869521
-43.27,26,88.315252
-43.65,26,88.751005
-36.0,25,89.168909
-41.14,28,89.662718
-34.85,29,90.15002
-44.1,23,90.507819
-35.92,27,90.928344
-44.74,19,91.21877
-35.86,34,91.769119
-41.64,28,92.241384
-38.91,29,92.769675
-47.62,20,93.145198
-41.91,28,93.687228
-44.65,21,96.472474
-39.0,29,97.063001
-38.23,34,97.786643
-41.03,27,98.328773
-35.52,31,98.943592
-42.0,38,99.638487
-35.81,29,100.118642
-41.46,29,100.602976
-41.41,26,101.024336
-41.47,56,101.937314
-44.08,30,102.418379
33.0,37,102.967869
-38.6,31,103.464077
-37.1,31,103.995523
-40.04,26,104.468344
-43.03,34,105.106412
-41.88,24,107.966298
-39.0,29,108.657701
31.568702,34,109.307068
-39.0,25,109.816922
-41.75,27,110.376728
-38.7,27,110.843926
-41.78,31,111.362395
-34.92,40,112.000374
-41.42,24,112.371936
-41.15,26,112.759274
-44.27,26,113.226201
-34.94,35,113.873295
-38.21,30,114.36785
-41.39,29,114.849424
-39.0,32,115.383556
-38.74,22,115.865491
-38.6,38,116.628869
-35.27,41,120.07275
-38.95,28,120.651272
-41.61,23,121.164999
-38.27,31,121.85023
-39.0,36,122.614344
-41.57,42,123.385602
-41.63,19,123.694981
-44.16,18,123.980892
-41.02,35,124.536139
-41.51,21,124.968555
-40.01,34,125.582008
-44.04,30,126.048971
-35.94,25,126.452405
-32.88,41,127.104789
-33.0,49,127.936034
-35.19,42,128.718539
-38.72,22,129.153688
-41.76,26,132.341664
-41.08,22,132.747536
-41.96,33,133.382458
-41.62,26,133.868415
-43.69,22,134.192948
-37.88,42,134.837442
-41.8,26,135.263475
-33.0,30,135.715557
-35.5,34,136.289549
-39.0,25,136.74315
-35.04,39,137.381063
-41.14,28,137.886483
-41.41,28,138.30859
-37.99,25,138.687612
-38.0,20,139.09657
-41.81,29,140.136461
-35.13,33,140.792732
-41.8,22,141.20439
32.458647,29,144.202252
-35.08,25,144.733333
-41.74,24,145.205191
-44.55,17,145.517344
-35.22,26,145.928024
-32.78,36,146.529063
-40.91,26,146.985616
-32.04,35,147.54135
-35.31,25,148.040403
-39.0,22,148.398443
-41.65,32,148.902833
-41.53,20,149.229896
-44.15,28,149.680804
-41.0,23,149.999585
-39.1,51,150.944572
-35.43,29,151.69761
-41.81,72,156.215905
-41.71,23,156.828617
32.07563,35,157.706472
-32.26,63,159.051838
-38.58,24,159.460015
34.292804,33,159.999917
-35.79,25,160.40512
-33.0,62,161.385709
-41.24,21,161.71747
-41.63,21,162.048012
-44.5,44,162.819803
-35.13,43,163.610053
-38.56,29,164.425751
34.697141,34,165.083138
-35.49,36,165.766706
32.533865,45,168.938816
-35.41,27,169.250399
-44.34,27,169.677223
-33.0,29,170.122638
-41.7,27,170.552897
-38.88,22,170.883678
-38.91,27,171.285606
-32.97,31,171.73458
-42.0,19,172.034796
-33.0,32,172.544449
32.199248,40,173.193626
-41.81,28,173.644069
-33.0,29,174.127739
-38.71,29,174.624447
-36.0,38,175.295234
-35.03,32,175.979813
-44.09,17,176.341769
-37.82,41,179.526596
-33.0,54,180.481602
36.0,29,180.91028
-35.23,32,181.354866
-38.32,33,181.835016
-39.0,21,182.133963
-38.59,27,182.536167
-35.35,27,182.927246
-35.45,36,183.459948
-44.61,23,183.808246
-38.16,31,184.254925
-32.65,30,184.842092
-36.0,30,185.364924
-38.42,25,185.785152
-36.0,27,186.231193
-40.3,26,186.670937
-33.0,37,187.286654
-32.48,26,189.893368
-37.77,28,190.440241
-38.79,41,191.129237
-41.34,30,191.626545
-35.29,34,192.165767
-41.15,24,192.563792
-36.0,24,192.905351
-33.0,28,193.322342
-40.59,21,193.630715
-32.75,38,194.194607
-38.39,44,195.019086
-38.53,26,195.50035
-31.87,43,196.252558
-40.93,29,196.804888
-45.0,21,197.20894
-36.0,47,198.051059
-38.13,28,201.059353
-37.57,28,201.574023
32.528958,34,201.927967
-35.76,37,202.663294
-38.76,26,203.143288
-40.63,35,203.720093
-38.56,21,204.075087
-44.85,26,204.494205
-38.56,23,204.805305
-35.33,35,205.309116
-38.32,22,205.626477
-41.47,28,206.034585
