turn,chosen,chosen_power,chosen_prob,best,best_power,ratio,dominated
1,knockoff,97.5,0.247,suckerpunch,105.0,1.08,0
2,knockoff,65.0,0.919,suckerpunch,70.0,1.08,0
1,bravebird,360.0,0.935,bravebird,360.0,1.0,0
3,knockoff,65.0,0.797,suckerpunch,70.0,1.08,0
1,headsmash,225.0,0.043,headsmash,225.0,1.0,0
2,bravebird,90.0,0.086,closecombat,90.0,1.0,0
2,headsmash,150.0,0.862,woodhammer,180.0,1.2,0
1,closecombat,180.0,0.144,closecombat,180.0,1.0,0
4,hydropump,82.5,0.364,spacialrend,150.0,1.82,1
1,bravebird,180.0,0.03,bravebird,180.0,1.0,0
3,headsmash,300.0,0.982,headsmash,300.0,1.0,0
2,diamondstorm,300.0,0.738,diamondstorm,300.0,1.0,0
2,surf,90.0,0.949,bravebird,120.0,1.33,0
3,stoneedge,200.0,0.99,stoneedge,200.0,1.0,0
1,suckerpunch,280.0,0.995,suckerpunch,280.0,1.0,0
4,knockoff,48.8,0.488,closecombat,240.0,4.92,1
5,fireblast,220.0,0.944,fireblast,220.0,1.0,0
3,bravebird,120.0,0.746,bravebird,120.0,1.0,0
4,stoneedge,200.0,0.954,stoneedge,200.0,1.0,0
2,suckerpunch,280.0,0.999,suckerpunch,280.0,1.0,0
5,closecombat,240.0,0.53,closecombat,240.0,1.0,0
3,stickyweb,0.0,0.298,hurricane,165.0,,1
6,fireblast,220.0,0.997,fireblast,220.0,1.0,0
1,outrage,180.0,0.03,outrage,180.0,1.0,0
4,bravebird,240.0,1.0,bravebird,240.0,1.0,0
4,stickyweb,0.0,0.466,hurricane,165.0,,1
3,stoneedge,400.0,0.999,stoneedge,400.0,1.0,0
6,knockoff,97.5,0.976,overheat,195.0,2.0,1
7,fireblast,220.0,1.0,fireblast,220.0,1.0,0
5,scaleshot,75.0,0.908,stoneedge,200.0,2.67,1
1,jetpunch,45.0,0.199,wavecrash,90.0,2.0,1
7,knockoff,97.5,0.97,overheat,195.0,2.0,1
8,fireblast,220.0,1.0,fireblast,220.0,1.0,0
5,swordsdance,0.0,0.257,rocktomb,120.0,,1
3,outrage,120.0,0.996,outrage,120.0,1.0,0
5,voltswitch,52.5,0.99,focusblast,120.0,2.29,1
4,stoneedge,200.0,0.99,stoneedge,200.0,1.0,0
6,swordsdance,0.0,0.426,rocktomb,180.0,,1
1,relicsong,112.5,0.026,closecombat,120.0,1.07,0
2,sludgebomb,270.0,0.367,sludgebomb,270.0,1.0,0
8,scald,120.0,0.633,scald,120.0,1.0,0
6,moonblast,285.0,0.999,moonblast,285.0,1.0,0
2,tripleaxel,20.0,0.482,closecombat,120.0,6.0,1
9,fireblast,220.0,0.998,fireblast,220.0,1.0,0
4,earthpower,135.0,0.907,earthpower,135.0,1.0,0
3,sludgebomb,270.0,0.998,sludgebomb,270.0,1.0,0
5,icebeam,180.0,0.053,icebeam,180.0,1.0,0
1,dazzlinggleam,120.0,0.915,dazzlinggleam,120.0,1.0,0
3,tripleaxel,20.0,0.451,closecombat,120.0,6.0,1
7,willowisp,0.0,0.359,thunderbolt,270.0,,1
6,icebeam,180.0,1.0,icebeam,180.0,1.0,0
10,fireblast,220.0,0.995,fireblast,220.0,1.0,0
7,uturn,52.5,0.575,moonblast,142.5,2.71,1
2,dazzlinggleam,120.0,0.816,dazzlinggleam,120.0,1.0,0
9,heatcrash,0.0,0.992,earthquake,50.0,,1
4,moonblast,142.5,0.89,moonblast,142.5,1.0,0
7,icebeam,180.0,1.0,icebeam,180.0,1.0,0
8,willowisp,0.0,0.364,thunderbolt,270.0,,1
5,earthpower,135.0,0.81,earthpower,135.0,1.0,0
6,hydropump,220.0,1.0,hydropump,220.0,1.0,0
4,ironhead,60.0,0.503,psychicnoise,112.5,1.88,1
11,triattack,120.0,1.0,triattack,120.0,1.0,0
9,willowisp,0.0,0.368,thunderbolt,270.0,,1
8,dracometeor,390.0,0.997,dracometeor,390.0,1.0,0
3,icebeam,180.0,0.507,earthquake,300.0,1.67,1
8,icebeam,180.0,1.0,icebeam,180.0,1.0,0
5,ironhead,60.0,0.412,psychicnoise,112.5,1.88,1
5,bugbuzz,135.0,0.411,moonblast,142.5,1.06,0
12,triattack,120.0,1.0,triattack,120.0,1.0,0
10,willowisp,0.0,0.372,thunderbolt,270.0,,1
6,psychicfangs,127.5,0.749,psychicfangs,127.5,1.0,0
7,gunkshot,180.0,0.495,gunkshot,180.0,1.0,0
4,icebeam,180.0,0.778,earthquake,300.0,1.67,1
11,photongeyser,150.0,1.0,photongeyser,150.0,1.0,0
6,psychicnoise,112.5,0.443,psychicnoise,112.5,1.0,0
11,willowisp,0.0,0.376,thunderbolt,270.0,,1
9,voltswitch,105.0,0.627,dracometeor,195.0,1.86,1
7,psychicfangs,127.5,0.544,psychicfangs,127.5,1.0,0
9,hydropump,82.5,1.0,hydropump,82.5,1.0,0
12,photongeyser,150.0,1.0,photongeyser,150.0,1.0,0
13,triattack,60.0,0.982,discharge,80.0,1.33,0
6,wavecrash,360.0,0.548,wavecrash,360.0,1.0,0
12,willowisp,0.0,0.38,thunderbolt,270.0,,1
8,astralbarrage,90.0,0.93,pollenpuff,180.0,2.0,1
5,icebeam,360.0,0.999,icebeam,360.0,1.0,0
10,hydropump,82.5,1.0,hydropump,82.5,1.0,0
7,ironhead,120.0,0.559,ironhead,120.0,1.0,0
8,closecombat,240.0,0.277,closecombat,240.0,1.0,0
13,willowisp,0.0,0.384,thunderbolt,270.0,,1
10,uturn,210.0,1.0,uturn,210.0,1.0,0
11,hydropump,82.5,1.0,hydropump,82.5,1.0,0
13,photongeyser,75.0,0.985,knockoff,130.0,1.73,1
14,earthquake,200.0,0.927,earthquake,200.0,1.0,0
8,psychicnoise,112.5,0.894,ironhead,120.0,1.07,0
9,recover,0.0,0.352,gunkshot,180.0,,1
6,scaleshot,75.0,0.205,collisioncourse,150.0,2.0,1
9,astralbarrage,180.0,1.0,astralbarrage,180.0,1.0,0
14,willowisp,0.0,0.387,thunderbolt,270.0,,1
12,hydropump,82.5,1.0,hydropump,82.5,1.0,0
8,roost,0.0,0.473,foulplay,285.0,,1
9,psychicnoise,112.5,1.0,ironhead,120.0,1.07,0
15,powergem,30.0,0.312,earthquake,200.0,6.67,1
7,scaleshot,50.0,0.635,flareblitz,180.0,3.6,1
10,astralbarrage,180.0,0.9,astralbarrage,180.0,1.0,0
15,willowisp,0.0,0.39,thunderbolt,270.0,,1
13,hydropump,82.5,1.0,hydropump,82.5,1.0,0
14,earthquake,100.0,0.975,supercellslam,100.0,1.0,0
9,roost,0.0,0.456,foulplay,285.0,,1
10,psychicfangs,127.5,0.188,closecombat,240.0,1.88,1
11,uturn,210.0,1.0,uturn,210.0,1.0,0
16,willowisp,0.0,0.393,thunderbolt,270.0,,1
10,ironhead,120.0,0.791,ironhead,120.0,1.0,0
16,closecombat,360.0,0.708,closecombat,360.0,1.0,0
10,roost,0.0,0.438,foulplay,285.0,,1
11,heavyslam,0.0,0.665,psychicfangs,127.5,,1
11,sleeptalk,0.0,0.341,wavecrash,180.0,,1
8,collisioncourse,400.0,0.999,collisioncourse,400.0,1.0,0
14,thunderbolt,270.0,0.997,thunderbolt,270.0,1.0,0
15,psychic,270.0,1.0,psychic,270.0,1.0,0
17,willowisp,0.0,0.396,thunderbolt,270.0,,1
11,ironhead,120.0,0.825,ironhead,120.0,1.0,0
11,roost,0.0,0.427,foulplay,285.0,,1
12,overheat,195.0,0.993,darkpulse,240.0,1.23,0
18,willowisp,0.0,0.399,thunderbolt,270.0,,1
17,closecombat,90.0,0.425,knockoff,130.0,1.44,0
12,psychicnoise,56.2,0.754,ironhead,120.0,2.13,1
12,roost,0.0,0.392,foulplay,285.0,,1
12,psychicfangs,127.5,0.362,closecombat,240.0,1.88,1
9,tachyoncutter,300.0,0.949,focusblast,480.0,1.6,1
1,fireblast,82.5,0.025,fireblast,82.5,1.0,0
19,willowisp,0.0,0.401,thunderbolt,270.0,,1
13,psychicnoise,56.2,0.992,ironhead,120.0,2.13,1
13,roost,0.0,0.385,foulplay,285.0,,1
2,darkpulse,40.0,0.069,sludgebomb,67.5,1.69,1
20,willowisp,0.0,0.402,thunderbolt,270.0,,1
1,gigadrain,225.0,0.745,gigadrain,225.0,1.0,0
14,roost,0.0,0.374,foulplay,285.0,,1
18,headsmash,450.0,0.776,headsmash,450.0,1.0,0
3,scald,240.0,1.0,scald,240.0,1.0,0
13,shellsmash,0.0,0.514,drillrun,80.0,,1
10,psyshock,60.0,0.825,tachyoncutter,75.0,1.25,0
21,willowisp,0.0,0.404,thunderbolt,270.0,,1
14,psychicnoise,225.0,1.0,psychicnoise,225.0,1.0,0
15,roost,0.0,0.362,foulplay,285.0,,1
2,gigadrain,225.0,0.725,gigadrain,225.0,1.0,0
17,gunkshot,180.0,1.0,gunkshot,180.0,1.0,0
4,scald,240.0,1.0,scald,240.0,1.0,0
1,tidyup,0.0,0.184,bite,60.0,,1
14,drillrun,80.0,0.292,drillrun,80.0,1.0,0
11,tachyoncutter,75.0,0.466,tachyoncutter,75.0,1.0,0
22,willowisp,0.0,0.405,thunderbolt,270.0,,1
15,psychicnoise,225.0,1.0,psychicnoise,225.0,1.0,0
19,earthquake,100.0,0.564,woodhammer,240.0,2.4,1
16,foulplay,285.0,0.326,foulplay,285.0,1.0,0
5,scald,240.0,1.0,scald,240.0,1.0,0
2,tidyup,0.0,0.546,bite,60.0,,1
12,psyshock,60.0,0.452,tachyoncutter,75.0,1.25,0
23,willowisp,0.0,0.362,thunderbolt,270.0,,1
18,fireblast,110.0,0.994,fireblast,110.0,1.0,0
17,wavecrash,90.0,0.152,wavecrash,90.0,1.0,0
3,gigadrain,112.5,0.062,sludgebomb,135.0,1.2,0
20,woodhammer,240.0,0.45,woodhammer,240.0,1.0,0
16,psychicnoise,225.0,1.0,psychicnoise,225.0,1.0,0
13,tachyoncutter,75.0,0.506,tachyoncutter,75.0,1.0,0
24,willowisp,0.0,0.326,thunderbolt,270.0,,1
1,strengthsap,0.0,0.07,sludgebomb,135.0,,1
19,gunkshot,45.0,0.957,fireblast,110.0,2.44,1
4,gigadrain,75.0,0.627,sludgebomb,90.0,1.2,0
18,protect,0.0,0.249,aurawheel,82.5,,1
3,earthquake,100.0,0.285,blizzard,165.0,1.65,1
6,scald,120.0,0.712,scald,120.0,1.0,0
25,willowisp,0.0,0.322,thunderbolt,270.0,,1
2,sludgebomb,90.0,0.984,sludgebomb,90.0,1.0,0
19,protect,0.0,0.246,aurawheel,82.5,,1
5,gigadrain,75.0,0.548,sludgebomb,90.0,1.2,0
4,dracometeor,0.0,0.02,electrodrift,150.0,,1
17,bugbuzz,135.0,1.0,bugbuzz,135.0,1.0,0
14,tailglow,0.0,0.341,surf,135.0,,1
20,blizzard,165.0,0.996,blizzard,165.0,1.0,0
1,stoneedge,300.0,0.202,stoneedge,300.0,1.0,0
20,protect,0.0,0.242,aurawheel,82.5,,1
6,sludgebomb,90.0,0.834,sludgebomb,90.0,1.0,0
7,aquastep,120.0,0.644,aquastep,120.0,1.0,0
15,energyball,90.0,0.694,surf,135.0,1.5,0
5,closecombat,45.0,0.381,facade,70.0,1.56,1
26,closecombat,180.0,0.596,closecombat,180.0,1.0,0
3,sludgebomb,180.0,1.0,sludgebomb,180.0,1.0,0
21,protect,0.0,0.305,aurawheel,82.5,,1
18,darkpulse,80.0,0.861,shadowball,120.0,1.5,0
21,knockoff,130.0,0.998,knockoff,130.0,1.0,0
27,closecombat,180.0,0.559,closecombat,180.0,1.0,0
4,sludgebomb,180.0,1.0,sludgebomb,180.0,1.0,0
2,stoneedge,75.0,0.756,stoneedge,75.0,1.0,0
22,protect,0.0,0.304,aurawheel,82.5,,1
7,gigadrain,37.5,0.862,gigadrain,37.5,1.0,0
16,energyball,90.0,0.829,surf,135.0,1.5,0
8,stoneedge,100.0,0.541,flareblitz,180.0,1.8,1
6,auroraveil,0.0,0.137,blizzard,165.0,,1
23,protect,0.0,0.302,aurawheel,82.5,,1
8,gigadrain,37.5,0.807,gigadrain,37.5,1.0,0
19,explosion,250.0,0.555,explosion,250.0,1.0,0
7,dracometeor,0.0,0.218,electrodrift,150.0,,1
28,closecombat,90.0,0.7,closecombat,90.0,1.0,0
5,sludgebomb,45.0,0.912,sludgebomb,45.0,1.0,0
3,playrough,270.0,1.0,playrough,270.0,1.0,0
9,gigadrain,37.5,0.675,gigadrain,37.5,1.0,0
17,seedbomb,120.0,0.425,seedbomb,120.0,1.0,0
1,ficklebeam,120.0,0.221,ficklebeam,120.0,1.0,0
8,auroraveil,0.0,0.105,blizzard,165.0,,1
24,wavecrash,90.0,0.418,wavecrash,90.0,1.0,0
6,sludgebomb,45.0,0.787,sludgebomb,45.0,1.0,0
2,earthpower,180.0,0.998,earthpower,180.0,1.0,0
20,dragondance,0.0,0.547,poisonjab,160.0,,1
18,swordsdance,0.0,0.376,seedbomb,120.0,,1
10,dazzlinggleam,160.0,0.462,thunderbolt,270.0,1.69,1
9,dracometeor,0.0,0.22,electrodrift,150.0,,1
29,spikes,0.0,0.624,foulplay,95.0,,1
4,playrough,67.5,1.0,bodypress,80.0,1.19,0
10,wavecrash,180.0,0.999,wavecrash,180.0,1.0,0
10,earthquake,100.0,0.129,blizzard,165.0,1.65,1
25,freezedry,210.0,0.558,bravebird,360.0,1.71,1
30,spikes,0.0,0.564,foulplay,95.0,,1
7,dracometeor,195.0,0.997,dracometeor,195.0,1.0,0
5,playrough,67.5,1.0,bodypress,80.0,1.19,0
3,heatcrash,0.0,0.272,outrage,180.0,,1
11,wavecrash,180.0,1.0,wavecrash,180.0,1.0,0
1,thunderbolt,135.0,0.038,thunderbolt,135.0,1.0,0
11,dracometeor,0.0,0.205,electrodrift,150.0,,1
31,spikes,0.0,0.528,foulplay,95.0,,1
2,thunderbolt,90.0,0.264,thunderbolt,90.0,1.0,0
1,leafstorm,195.0,0.379,dracometeor,195.0,1.0,0
26,spikes,0.0,0.359,freezedry,105.0,,1
32,spikes,0.0,0.514,foulplay,95.0,,1
6,bulkup,0.0,0.278,wavecrash,180.0,,1
12,uturn,17.5,0.504,tailslap,18.8,1.07,0
3,thunderbolt,90.0,0.573,thunderbolt,90.0,1.0,0
12,earthquake,100.0,0.147,blizzard,165.0,1.65,1
33,spikes,0.0,0.503,foulplay,95.0,,1
4,morningsun,0.0,0.12,outrage,180.0,,1
7,bulkup,0.0,0.53,wavecrash,180.0,,1
9,icebeam,90.0,1.0,icebeam,90.0,1.0,0
13,facade,70.0,0.808,closecombat,90.0,1.29,0
13,dracometeor,0.0,0.179,electrodrift,150.0,,1
34,spikes,0.0,0.49,foulplay,95.0,,1
8,bulkup,0.0,0.562,wavecrash,180.0,,1
5,closecombat,180.0,0.162,closecombat,180.0,1.0,0
13,closecombat,120.0,0.819,closecombat,120.0,1.0,0
4,powergem,120.0,0.95,lavaplume,120.0,1.0,0
14,facade,70.0,0.703,closecombat,90.0,1.29,0
27,uturn,70.0,0.733,foulplay,142.5,2.04,1
35,spikes,0.0,0.48,foulplay,95.0,,1
6,defog,0.0,0.344,surf,270.0,,1
9,wavecrash,180.0,0.569,wavecrash,180.0,1.0,0
10,flamethrower,360.0,1.0,flamethrower,360.0,1.0,0
14,knockoff,65.0,0.278,ironhead,160.0,2.46,1
7,bravebird,90.0,0.297,bravebird,90.0,1.0,0
14,tripleaxel,20.0,0.65,closecombat,120.0,6.0,1
5,powergem,120.0,0.764,powergem,120.0,1.0,0
1,knockoff,130.0,0.005,knockoff,130.0,1.0,0
15,facade,70.0,0.497,closecombat,90.0,1.29,0
15,knockoff,65.0,0.48,ironhead,160.0,2.46,1
5,dragondance,0.0,0.902,stoneedge,100.0,,1
10,wavecrash,180.0,0.764,wavecrash,180.0,1.0,0
8,bravebird,90.0,0.292,bravebird,90.0,1.0,0
2,knockoff,130.0,0.983,knockoff,130.0,1.0,0
6,waterfall,30.0,0.762,stoneedge,100.0,3.33,1
9,knockoff,65.0,0.409,closecombat,360.0,5.54,1
1,machpunch,0.0,0.011,bulletseed,37.5,,1
15,roost,0.0,0.498,bravebird,180.0,,1
16,doubleedge,180.0,0.311,doubleedge,180.0,1.0,0
6,tailslap,37.5,0.423,uturn,70.0,1.87,1
3,knockoff,130.0,1.0,knockoff,130.0,1.0,0
16,sacredfire,150.0,0.577,flareblitz,180.0,1.2,0
11,flowertrick,105.0,0.998,flowertrick,105.0,1.0,0
10,closecombat,360.0,0.412,closecombat,360.0,1.0,0
2,machpunch,0.0,0.239,bulletseed,25.0,,1
16,roost,0.0,0.522,bravebird,180.0,,1
7,tailslap,37.5,0.354,uturn,70.0,1.87,1
4,knockoff,130.0,0.997,knockoff,130.0,1.0,0
7,psychic,135.0,0.515,hurricane,165.0,1.22,0
11,facade,70.0,0.362,facade,70.0,1.0,0
17,doubleedge,180.0,0.451,doubleedge,180.0,1.0,0
17,roost,0.0,0.503,bravebird,180.0,,1
8,psychic,135.0,0.998,psychic,135.0,1.0,0
3,shadowsneak,60.0,0.926,poltergeist,165.0,2.75,1
8,bulletseed,25.0,0.255,tailslap,37.5,1.5,0
14,ironhead,240.0,1.0,ironhead,240.0,1.0,0
18,roost,0.0,0.486,bravebird,180.0,,1
5,earthquake,75.0,0.996,stoneedge,100.0,1.33,0
18,doubleedge,180.0,0.313,doubleedge,180.0,1.0,0
12,sludgebomb,135.0,0.126,sludgebomb,135.0,1.0,0
4,shadowsneak,60.0,0.068,poltergeist,165.0,2.75,1
15,ironhead,240.0,0.975,ironhead,240.0,1.0,0
13,roost,0.0,0.294,bravebird,360.0,,1
19,roost,0.0,0.461,bravebird,180.0,,1
9,leafstorm,130.0,0.17,flamethrower,135.0,1.04,0
