#{"t_start": 1785934089.035169, "env_id": "poke-env-v0"}
r,l,t
-35.5,57,2.898247
35.700125,67,3.860958
-37.33,44,4.465487
33.0,58,5.271874
32.214286,73,6.256077
-32.42,108,7.679637
36.160793,71,8.608393
35.623664,67,10.228548
35.876374,78,11.235352
36.435771,66,12.171935
-32.33,72,13.187329
32.522388,67,14.04861
32.42053,48,14.684434
-32.76,45,15.248909
43.496704,43,15.800669
-32.72,35,16.228563
-36.96,81,18.500057
36.765062,52,19.195189
39.729311,55,19.947921
34.36165,46,20.556084
35.357606,78,21.564537
-34.35,48,22.201742
34.415536,49,22.852184
-32.48,50,23.515022
32.356631,60,24.327633
36.718,85,26.405869
32.061224,49,27.044007
45.584527,47,27.815747
-33.0,50,28.663104
32.796209,57,29.470504
32.359155,53,30.222127
35.157373,41,30.765719
39.926692,38,31.270144
-32.29,40,32.488297
37.515672,43,33.068602
32.386861,42,34.39682
31.538462,60,35.60073
42.034995,80,36.684296
39.509232,61,37.481609
34.263033,65,38.34767
32.21843,51,39.008541
34.644411,55,39.837158
41.697867,53,40.519841
35.15534,56,41.30962
37.608796,43,42.592736
38.26492,78,43.60773
35.230224,56,44.422397
38.487106,33,44.879957
-32.42,67,45.772813
38.977819,38,46.321923
-32.22,53,47.074214
40.199537,48,47.726568
37.539321,54,48.439347
37.442133,80,50.275582
34.159211,69,51.226877
36.951684,49,51.841487
32.47417,125,53.937417
40.875829,46,54.565848
34.465663,61,55.446354
41.166465,61,56.292491
-34.67,45,56.943329
43.719064,25,57.305984
34.923201,85,59.091135
37.145999,55,59.827514
-33.0,72,60.821589
-42.36,52,61.563045
42.05969,62,62.386394
42.144481,37,62.874339
38.506391,59,63.637649
43.438345,43,64.206848
-32.81,54,64.913497
32.09542,56,66.361287
36.807799,48,66.966891
37.955151,49,67.666798
31.860996,67,68.64631
40.729718,41,69.200405
37.759259,50,69.885955
-32.5,104,71.296052
39.856327,32,71.765117
35.103321,43,72.359796
38.153406,64,74.028599
46.151881,33,74.48169
43.544838,42,75.046854
40.768237,44,75.58197
46.782451,35,76.085794
37.461476,63,76.974641
36.020293,97,78.299083
47.461295,26,78.612025
39.919962,33,79.085192
38.024735,61,79.915834
34.378821,71,81.653429
40.615253,48,82.329564
37.884989,39,82.859657
32.796992,72,83.834207
43.344974,22,84.155256
40.90221,54,84.866515
44.331977,44,85.476044
40.753405,32,86.188406
-33.0,63,87.077133
34.545627,47,87.721584
35.743034,55,88.474098
34.437937,81,90.374216
39.868658,57,91.141811
-32.5,110,92.683052
40.177779,43,93.25171
33.0,45,93.849833
32.142361,94,95.117489
40.939481,32,95.552047
-37.84,45,96.181539
44.356166,34,97.36323
33.0,51,98.044074
35.524664,48,99.148288
41.485668,47,99.85602
43.40047,40,100.406792
39.394166,51,101.159095
32.422053,36,101.678232
-37.42,60,102.482019
37.876692,41,103.069844
43.221008,50,103.760055
35.936455,40,104.444775
32.454225,44,105.856124
-32.31,67,106.737326
34.333806,46,107.350976
32.805147,44,107.920428
43.598122,40,108.440395
47.457364,23,108.752583
32.375,36,109.761401
44.055085,31,110.161623
44.086138,27,110.526901
37.040729,68,111.473133
44.073017,41,112.076599
-32.42,56,112.819439
35.842553,30,113.980072
41.571429,32,114.42055
37.031821,51,115.108958
40.353859,38,115.667967
41.107684,56,116.421759
45.0,29,116.831796
47.192949,29,117.46267
47.650407,26,117.835903
33.0,33,118.246292
40.770945,33,119.124691
37.154545,53,119.834161
38.834459,35,120.287058
36.0,48,120.985003
47.176707,40,122.300009
41.826272,32,122.746145
35.094161,46,123.417712
-32.1,134,125.658344
34.277707,46,126.272252
35.080386,41,126.804365
37.581601,42,127.421268
-32.6,70,128.359141
46.088552,29,129.057987
38.87939,43,129.675642
-32.59,70,131.446256
37.997785,32,131.881671
43.874886,28,132.258799
40.370261,37,132.819852
38.388489,37,133.360159
40.43266,30,134.371102
43.220945,30,134.824045
35.8,42,135.417199
-35.01,41,135.979376
46.080931,34,137.416853
-32.4,57,138.225802
-32.17,52,138.934811
41.006386,45,140.289695
-32.54,47,140.924702
38.799197,43,141.517726
41.803738,25,142.042551
-32.23,37,142.529296
38.776515,26,142.872722
41.783465,21,143.17057
38.433824,39,143.694733
35.52649,45,144.329991
43.360945,38,145.570626
34.923491,37,146.077912
44.208677,41,146.625149
35.495702,78,147.684881
46.513157,30,148.151634
40.611161,25,149.248088
32.168033,35,149.800176
38.52921,33,150.311044
-32.1,51,151.05448
42.0,41,151.625787
38.131086,32,152.048555
40.613723,65,153.395228
32.115625,46,154.126826
35.708029,41,154.718809
-35.09,61,155.55825
45.0,62,156.420173
38.485164,50,157.868097
38.391473,41,158.436847
38.876543,47,159.086146
39.0,33,159.599977
35.371336,34,160.102771
47.320189,49,160.806137
40.212212,37,161.513117
44.423037,31,161.973298
33.0,44,162.615164
35.594306,40,163.16937
35.212838,52,164.499458
47.693498,37,165.009242
44.377564,34,165.479112
35.697749,41,166.796808
38.406636,47,167.44752
40.827252,45,168.111623
38.217571,46,168.813762
38.354223,45,169.453207
41.443709,33,169.900143
44.969789,33,170.357685
41.125035,31,170.811325
39.870115,44,171.480761
42.882457,36,172.00638
32.497143,56,172.808405
-32.49,50,173.512151
44.503571,27,174.585662
44.033846,16,174.833165
-32.8,56,175.634882
39.610958,28,176.034661
42.0,41,176.614415
41.5,39,177.158777
46.32282,34,177.63295
35.662835,55,178.389324
36.0,49,179.079161
46.371896,49,179.748365
45.0,22,180.06035
37.412045,40,180.613324
