cell,algo,encoder,reward,train_opponent,opponent,win_rate_mean,win_rate_std,n_seeds
a2c_masked_v0,a2c_masked,v0,shaped,heuristic,heuristic,5.73,2.53,3
a2c_masked_v0,a2c_masked,v0,shaped,heuristic,max_power,34.87,7.05,3
a2c_masked_v0,a2c_masked,v0,shaped,heuristic,random,79.07,5.87,3
dqn_masked_v0,dqn_masked,v0,shaped,heuristic,heuristic,11.87,0.46,3
dqn_masked_v0,dqn_masked,v0,shaped,heuristic,max_power,45.4,1.56,3
dqn_masked_v0,dqn_masked,v0,shaped,heuristic,random,89.0,2.84,3
ppo_masked_v0,ppo_masked,v0,shaped,heuristic,heuristic,31.13,2.89,3
ppo_masked_v0,ppo_masked,v0,shaped,heuristic,max_power,72.53,1.7,3
ppo_masked_v0,ppo_masked,v0,shaped,heuristic,random,96.67,0.61,3
ppo_masked_v0_aggressive,ppo_masked,v0,aggressive,heuristic,heuristic,31.07,1.8,3
ppo_masked_v0_aggressive,ppo_masked,v0,aggressive,heuristic,max_power,70.27,1.53,3
ppo_masked_v0_aggressive,ppo_masked,v0,aggressive,heuristic,random,97.47,0.64,3
ppo_masked_v0_sparse,ppo_masked,v0,sparse,heuristic,heuristic,22.27,18.6,3
ppo_masked_v0_sparse,ppo_masked,v0,sparse,heuristic,max_power,52.13,40.13,3
ppo_masked_v0_sparse,ppo_masked,v0,sparse,heuristic,random,77.47,34.18,3
ppo_masked_v0_vs_maxpower,ppo_masked,v0,shaped,max_power,heuristic,32.07,1.9,3
ppo_masked_v0_vs_maxpower,ppo_masked,v0,shaped,max_power,max_power,72.47,1.42,3
ppo_masked_v0_vs_maxpower,ppo_masked,v0,shaped,max_power,random,97.13,0.83,3
ppo_masked_v0_vs_mixed,ppo_masked,v0,shaped,mixed,heuristic,30.07,2.69,3
ppo_masked_v0_vs_mixed,ppo_masked,v0,shaped,mixed,max_power,73.07,3.0,3
ppo_masked_v0_vs_mixed,ppo_masked,v0,shaped,mixed,random,97.4,0.6,3
ppo_masked_v0_vs_random,ppo_masked,v0,shaped,random,heuristic,28.87,4.74,3
ppo_masked_v0_vs_random,ppo_masked,v0,shaped,random,max_power,71.6,2.23,3
ppo_masked_v0_vs_random,ppo_masked,v0,shaped,random,random,97.07,0.5,3
ppo_masked_v1,ppo_masked,v1,shaped,heuristic,heuristic,26.53,1.55,3
ppo_masked_v1,ppo_masked,v1,shaped,heuristic,max_power,66.13,1.8,3
ppo_masked_v1,ppo_masked,v1,shaped,heuristic,random,95.87,0.42,3
ppo_unmasked_v0,ppo_unmasked,v0,shaped,heuristic,heuristic,24.67,1.5,3
ppo_unmasked_v0,ppo_unmasked,v0,shaped,heuristic,max_power,70.53,3.93,3
ppo_unmasked_v0,ppo_unmasked,v0,shaped,heuristic,random,96.13,0.31,3
sanity_ppo_masked,ppo_masked,v0,shaped,random,heuristic,20.0,0.0,1
sanity_ppo_masked,ppo_masked,v0,shaped,random,max_power,64.0,0.0,1
sanity_ppo_masked,ppo_masked,v0,shaped,random,random,96.5,0.0,1
tabular_q_v0,tabular_q,v0,shaped,heuristic,heuristic,1.8,0.53,3
tabular_q_v0,tabular_q,v0,shaped,heuristic,max_power,9.13,0.81,3
tabular_q_v0,tabular_q,v0,shaped,heuristic,random,54.87,2.01,3
