#{"t_start": 1785953394.6755052, "env_id": "poke-env-v0"}
r,l,t
-39.0,27,2.058551
-41.62,26,2.137174
-41.85,24,2.208127
-44.35,19,2.266467
-44.24,45,2.400223
-39.0,50,2.544683
-38.26,32,2.639105
-38.8,24,2.709132
-42.0,23,2.776798
-39.0,24,2.846373
-39.0,24,2.917487
-33.0,44,3.047184
-41.77,25,3.122254
-42.0,41,3.241477
-37.69,28,3.323337
-44.59,19,3.384662
-41.26,33,3.479719
-38.86,29,3.564943
-47.31,20,3.626977
-38.81,39,3.745686
-38.8,24,3.815891
-41.91,20,3.874513
-38.36,28,3.961452
-39.0,49,4.107445
-41.32,27,4.184865
-42.38,31,4.273423
-41.35,29,4.358315
-41.2,31,4.448597
-38.91,47,4.588215
-36.0,45,4.718
-38.54,29,4.798728
-41.13,28,4.88413
-48.0,24,4.960509
-44.25,24,5.032155
-44.61,31,5.123017
-44.21,30,5.214129
-38.35,28,5.30074
-41.12,23,5.372033
-40.82,38,5.496024
-32.56,36,5.605525
-34.93,39,5.717545
-38.67,36,5.834986
-44.39,20,5.902796
-41.81,19,5.96356
-41.76,30,6.051824
-38.45,41,6.175869
-38.44,20,6.238024
-33.0,37,6.344269
-35.05,27,6.426352
-47.08,26,6.503926
-38.76,26,6.578998
-41.76,26,6.659653
-38.86,36,6.763529
-41.2,32,6.85684
-35.5,36,6.963763
-43.51,24,7.051831
-44.03,27,7.135128
-41.14,32,7.252926
-41.81,27,7.364373
-41.86,31,7.504312
-35.62,28,7.626912
-40.92,35,7.72975
-44.33,25,7.806304
-44.62,29,7.892615
-41.96,27,7.972949
-44.5,24,8.041961
-36.0,29,8.12837
-43.52,25,8.204015
-41.15,29,8.289315
-43.61,24,8.357415
-47.15,25,8.431836
-44.03,24,8.502663
-41.68,24,8.579437
-38.88,25,8.653376
-41.5,31,8.752316
-38.27,41,8.872052
-44.49,22,8.941687
-42.0,26,9.017779
-38.57,23,9.08779
-42.0,22,9.153189
-44.09,21,9.21588
-38.4,32,9.30591
-41.37,16,9.35646
-41.8,25,9.431222
-41.65,26,9.512862
-45.0,20,9.575321
-39.0,33,9.671716
-42.0,23,9.741801
-38.48,25,9.813469
-41.73,21,9.874102
-38.62,35,9.980775
-39.0,47,10.119043
-44.54,20,10.180767
-40.15,28,10.26435
-43.56,17,10.318693
-42.0,21,10.38061
-41.29,24,10.453696
-38.35,27,10.530545
-41.5,33,10.629046
-38.91,30,10.71624
-43.63,23,10.785037
-44.19,24,10.860684
-38.54,75,11.076465
-33.0,29,11.158652
-44.46,25,11.237116
-44.44,20,11.298243
-46.09,21,11.366544
-41.21,26,11.445536
-35.01,38,11.558919
-38.54,27,11.639715
-35.78,34,11.741148
-41.24,31,11.832481
-38.93,22,11.897555
-44.03,22,11.966269
-41.64,35,12.069581
-47.63,17,12.124293
-46.83,26,12.206419
-38.37,22,12.271897
-43.99,29,12.356766
-38.5,26,12.433476
-45.0,30,12.526437
-44.56,38,12.64441
-35.52,35,12.746032
-41.33,33,12.842998
-41.23,34,12.942952
-38.52,34,13.045966
-38.41,33,13.139735
-33.0,29,13.225356
-41.79,25,13.305547
-41.61,20,13.365219
-41.81,37,13.470587
-35.37,36,13.574387
-44.93,20,13.635731
-44.72,31,13.72911
-44.12,25,13.808457
-38.82,35,13.910589
-42.0,34,14.011484
-36.0,29,14.095358
-41.87,27,14.183919
-41.13,23,14.254248
-44.06,34,14.355067
-43.64,18,14.4114
-39.0,27,14.488038
-46.75,31,14.580413
-41.91,28,14.670351
35.814853,38,14.780682
-44.5,23,14.8508
-43.88,42,14.972697
-43.93,34,15.073988
-38.07,43,15.199889
-44.41,27,15.281028
-41.69,33,15.378251
-41.29,21,15.439033
-41.21,31,15.532571
-41.9,26,15.608705
-42.0,31,15.697782
-38.79,38,15.804808
-37.26,26,15.88403
-41.13,30,15.975411
-40.19,26,16.05229
-44.28,23,16.12266
-38.12,34,16.224412
-45.25,33,16.329455
-41.81,34,16.42889
-44.3,19,16.48638
-41.76,29,16.575377
-44.08,28,16.66277
-44.82,22,16.733212
-44.06,24,16.806472
-38.8,27,16.88474
-47.08,26,16.963206
-40.38,29,17.048221
-32.91,34,17.151583
-32.28,49,17.285583
-42.61,34,17.387913
-35.96,34,17.487077
-38.8,44,17.613754
-38.61,36,17.745811
-41.67,31,17.847999
-43.86,26,17.929566
-41.2,25,18.009013
-44.36,28,18.097581
-39.0,39,18.208703
-45.0,21,18.273643
-42.0,25,18.348907
-39.0,25,18.424117
-46.0,23,18.49188
-39.0,37,18.597202
-41.26,28,18.678444
-44.91,18,18.736202
-41.53,36,18.846095
-41.83,27,18.922139
-38.19,31,19.012311
-44.51,18,19.072057
-38.34,29,19.156263
-32.13,40,19.272401
-43.76,18,19.328966
-41.65,28,19.413724
-35.09,42,19.539175
-41.67,32,19.632768
-45.0,20,19.693656
-41.49,28,19.77847
-44.08,22,19.843948
-44.9,22,19.909877
-40.86,24,19.986162
-41.8,29,20.072128
-35.7,45,20.203743
-40.98,27,20.285944
-42.0,27,20.364865
-40.54,25,20.439559
-35.3,30,20.530891
-42.0,34,20.627463
-41.04,23,20.692779
-41.86,29,20.777422
-32.68,47,20.917703
-43.57,26,20.996624
-44.28,26,21.07074
-42.0,22,21.134842
-35.33,28,21.217297
-41.29,24,21.288329
-41.7,36,21.394193
-41.16,24,21.465473
-42.0,34,21.568864
-41.03,37,21.679328
-39.0,26,21.757613
-42.0,20,21.81567
-38.9,31,21.906606
-39.0,31,21.998569
-42.0,20,22.057574
-42.0,30,22.146923
-32.81,33,22.243505
-38.62,46,22.378852
-47.03,20,22.446072
-35.91,29,22.537017
-38.53,28,22.618874
-35.63,50,22.767481
-38.35,30,22.861468
-44.1,29,22.945386
-44.16,40,23.06735
-38.86,25,23.143993
-41.67,25,23.222573
-40.85,37,23.333441
-41.63,22,23.402293
-40.22,33,23.496346
-41.08,23,23.567363
-43.58,29,23.656792
-36.0,25,23.729517
-46.56,43,23.859622
-41.0,30,23.954926
-40.79,32,24.050865
-41.43,25,24.12498
-41.17,30,24.217003
-44.84,34,24.322088
-41.18,22,24.389079
-41.43,30,24.47456
-41.75,34,24.574123
-44.51,22,24.638338
-47.29,16,24.687693
-38.57,44,24.811633
-41.5,25,24.884731
-44.1,27,24.965453
-33.0,55,25.120231
-47.16,21,25.182205
-41.65,32,25.280038
-41.9,27,25.361006
-44.63,31,25.452176
-37.84,30,25.537794
39.789212,30,25.624916
-45.0,21,25.685307
-42.0,29,25.770555
-41.52,25,25.846757
-44.39,25,25.942483
-38.59,32,26.036669
-41.49,32,26.131135
-39.0,62,26.3042
-47.0,20,26.36706
-44.68,36,26.472507
-44.06,27,26.569517
-39.0,26,26.646602
-41.6,27,26.7248
-36.0,28,26.808315
-36.0,31,26.897656
-44.6,28,26.979784
-39.0,22,27.043558
-41.31,30,27.133092
-44.25,20,27.196192
-35.97,24,27.26741
-38.52,30,27.35871
-41.79,24,27.426291
-41.07,28,27.509668
-32.51,54,27.662379
-44.88,40,27.786059
-43.07,20,27.849649
-42.0,15,27.897118
32.774545,35,28.002369
-38.8,29,28.092792
-45.0,29,28.181045
-44.96,34,28.290317
-41.62,25,28.369856
-44.51,23,28.440343
-44.74,24,28.516312
-38.93,44,28.649978
-40.5,28,28.742258
-42.0,50,28.885164
-41.7,20,28.956591
-47.42,20,29.018332
-43.83,23,29.085296
-45.0,35,29.197686
-44.35,25,29.268632
-38.62,33,29.362434
-44.19,22,29.439142
-34.56,33,29.538753
-44.53,19,29.596482
-38.55,25,29.668524
-38.41,42,29.790841
-38.86,31,29.880379
-41.52,21,29.943169
-38.46,27,30.019577
-47.44,16,30.07214
-42.72,27,30.149881
-41.62,43,30.273802
-42.0,27,30.356148
-42.0,28,30.442969
-44.71,30,30.529006
-44.59,25,30.60228
-36.0,32,30.694419
-41.24,32,30.788604
-41.49,31,30.87887
-44.25,26,30.955178
-44.6,27,31.039442
-41.39,23,31.10746
-38.74,36,31.211843
-37.27,33,31.311438
-40.51,21,31.372123
-47.28,31,31.463537
-44.74,28,31.547073
-44.43,28,31.625789
-41.49,22,31.690432
-35.35,40,31.797189
-45.0,22,31.86386
-41.51,27,31.94147
-41.03,29,32.027611
-41.61,25,32.10089
-39.0,25,32.176917
-38.65,23,32.245159
-40.84,25,32.319271
-44.07,27,32.408667
-41.42,25,32.481738
-41.73,57,32.644752
-44.08,19,32.703799
-44.45,35,32.812674
-41.85,27,32.893002
-45.0,27,32.972922
-44.43,28,33.052675
-38.37,49,33.190833
-44.26,20,33.250947
-38.72,37,33.359837
-41.66,19,33.417272
-46.54,19,33.476644
-41.65,19,33.533415
-38.28,22,33.594731
-38.24,33,33.686681
-44.29,30,33.777051
-45.0,29,33.86098
-41.34,46,33.997567
-35.16,37,34.106039
-47.17,36,34.208972
-44.7,30,34.294472
-41.35,22,34.358758
-43.91,31,34.45419
-41.48,25,34.527277
-44.21,34,34.626735
-41.7,26,34.705326
-41.71,42,34.823387
-44.12,26,34.898477
-42.0,26,34.973325
-35.22,27,35.05327
-44.14,30,35.14048
-42.0,26,35.217795
-37.87,34,35.323267
-44.02,21,35.388228
-38.82,30,35.474433
-38.75,32,35.56648
-41.76,31,35.652534
-38.37,41,35.773067
-39.0,38,35.879864
-44.17,26,35.956193
-43.37,36,36.058887
-43.51,29,36.142451
-41.2,23,36.214266
-38.25,28,36.293084
-43.95,21,36.355176
-41.44,25,36.428898
-41.21,36,36.535873
-41.57,25,36.611222
-44.03,52,36.761224
-47.13,22,36.831425
-38.91,23,36.899884
-34.65,43,37.018459
-44.4,46,37.153511
-44.42,23,37.22019
-42.0,24,37.287617
-38.79,26,37.360172
-44.08,23,37.431089
-41.55,21,37.492212
-41.38,25,37.566091
-35.65,30,37.652353
-41.45,23,37.7174
-41.76,32,37.813914
-44.01,25,37.88581
-42.0,28,37.967111
-44.09,25,38.046536
-37.55,51,38.194385
-38.5,29,38.279803
-44.3,25,38.351545
-39.0,37,38.455802
-40.91,41,38.585479
-35.39,43,38.711601
-44.06,23,38.782026
-35.55,68,38.983796
-44.19,22,39.050519
-35.32,35,39.156488
-45.0,31,39.25261
-35.47,41,39.37025
-42.0,46,39.499872
-41.19,52,39.655121
-44.35,27,39.734997
-44.83,21,39.799933
-38.67,36,39.902169
-33.0,36,40.008045
-44.4,20,40.067976
-35.53,26,40.140696
-44.3,34,40.241787
-46.48,21,40.305955
-48.0,21,40.368086
-44.69,29,40.456391
-39.0,37,40.561331
-41.77,73,40.792855
-44.33,23,40.861858
-44.04,33,40.956509
-41.5,29,41.039697
-41.72,27,41.115767
-45.0,37,41.223027
-38.43,27,41.299898
-44.73,31,41.393805
-43.92,95,41.654132
-44.76,29,41.73933
-43.69,25,41.813664
-41.44,65,41.992358
-35.79,30,42.075419
-44.14,25,42.150969
-38.79,29,42.235922
-41.15,20,42.295169
-40.95,33,42.391269
-47.66,17,42.444423
-44.37,35,42.551579
-40.75,26,42.629287
-35.26,36,42.734592
-42.0,19,42.794466
-35.08,55,42.94899
-44.45,27,43.027392
-41.05,27,43.108736
-41.82,28,43.194496
-41.15,33,43.295594
-44.4,37,43.401445
-46.89,28,43.487037
-39.0,27,43.563752
-43.29,23,43.633051
-38.27,31,43.724057
-45.0,28,43.81071
-35.23,38,43.915838
-41.59,39,44.031773
-41.87,26,44.110226
-41.16,20,44.17482
-48.0,23,44.245257
-44.8,18,44.297354
-44.52,37,44.409999
-41.77,19,44.465439
-38.3,20,44.527599
-39.0,24,44.598429
-44.23,24,44.673445
-38.0,38,44.783138
-41.55,33,44.877288
-42.83,31,44.965681
-40.2,31,45.056479
-39.0,29,45.138461
-37.65,34,45.233522
-43.74,25,45.305067
-39.0,27,45.384874
-35.22,36,45.486686
-37.98,33,45.578901
-45.0,37,45.684758
-41.52,27,45.764316
-41.24,42,45.885478
-44.69,24,45.955513
-45.51,20,46.021106
-42.0,37,46.162753
-41.93,35,46.261764
-41.51,32,46.353934
-44.76,25,46.428043
-38.25,30,46.512323
-38.91,35,46.612891
-42.0,50,46.757812
-42.0,31,46.850982
-44.5,23,46.922208
-44.46,29,47.005988
-44.73,19,47.062508
-45.0,23,47.131965
-38.44,122,47.452478
-47.29,16,47.505239
-38.66,31,47.592299
-44.28,25,47.668765
-44.76,25,47.741308
-40.84,30,47.828281
-47.39,41,47.95193
-38.88,32,48.042974
-38.3,33,48.138294
-38.74,23,48.209966
-41.88,24,48.282362
-44.35,21,48.345406
-41.37,22,48.410078
-40.96,38,48.521718
-39.97,38,48.636713
-41.36,28,48.719713
-41.26,29,48.805784
-41.7,45,48.933242
-41.71,19,48.986265
-41.77,23,49.056547
-44.16,23,49.123794
-38.33,23,49.195874
-46.91,23,49.264878
-37.96,29,49.350413
-47.23,22,49.416259
-42.0,29,49.497917
-38.08,32,49.591475
-41.57,25,49.665216
-41.61,25,49.736175
-47.38,27,49.8186
-41.3,29,49.899425
-41.31,28,49.985082
-41.04,39,50.097512
-38.35,29,50.177764
-39.0,27,50.252497
-46.73,31,50.338599
-41.41,20,50.397682
-41.05,35,50.504961
-42.0,23,50.567806
-45.0,30,50.656233
-41.87,43,50.821289
-44.07,22,50.911245
-41.81,35,51.070254
-41.72,25,51.148029
-36.0,25,51.218094
-42.0,28,51.298723
-38.01,21,51.361585
-39.0,26,51.43567
-44.41,30,51.520874
-44.94,32,51.612016
-44.36,23,51.679453
-32.5,39,51.787377
-35.73,30,51.87112
-42.0,53,52.018015
-46.75,18,52.076043
-41.68,23,52.143647
-41.06,27,52.219743
-39.0,38,52.328979
-41.05,22,52.394156
-35.26,29,52.480718
-38.62,25,52.556786
-44.22,22,52.622328
-38.6,26,52.698987
-38.19,32,52.789889
-38.41,35,52.893241
-47.33,34,52.997765
-44.07,33,53.097294
-38.24,27,53.172828
-44.14,25,53.242703
-44.5,44,53.367022
-41.76,23,53.433339
-44.92,19,53.491477
-40.83,20,53.552581
-38.81,32,53.644903
-41.91,23,53.713096
-47.14,24,53.791649
-45.0,36,53.899535
-41.03,33,53.992869
-39.69,30,54.076257
